,Unnamed: 0,reservoir_var,reservoir_db_name,target_var,target_db_name,train_pred,test_pred,RMSE_train,RMSE_test,NMSE_train,NMSE_test,num_nodes,Win_strength,Win_sparsity,n_neighbors,leak_rate,subset_size,test_fraction,washout_data,training_time,learnmodel_time,testing_time,delay,r2
63,63,Prok_Taxa00083,ecol_ts,random_01,runif_ts,0.5132,0.5585,0.2503,0.2411,0.1740819,0.1692211,7,1.0,0.6,8,0.6,499,0.5,0,0.1,0.0,0.1,1,0.31192225
64,64,Prok_Taxa00084,ecol_ts,random_01,runif_ts,0.2406,0.3061,0.2831,0.2772,0.222669,0.2237222,2,2.0,0.5,3,0.8,499,0.5,0,0.09,0.0,0.1,1,0.09369720999999999
65,65,Prok_Taxa00085,ecol_ts,random_01,runif_ts,0.482,0.5672,0.2556,0.2405,0.1814938,0.1683182,5,1.5,0.4,6,0.6,499,0.5,0,0.09,0.0,0.09,1,0.32171584000000003
66,66,Prok_Taxa00086,ecol_ts,random_01,runif_ts,0.3135,0.4165,0.2792,0.2686,0.2165506,0.2100152,3,1.0,0.0,4,0.8,499,0.5,0,0.09,0.0,0.1,1,0.17347225
67,67,Prok_Taxa00087,ecol_ts,random_01,runif_ts,0.3372,0.3934,0.2769,0.2687,0.2130646,0.210131,7,1.5,0.3,8,0.3,499,0.5,0,0.1,0.0,0.11,1,0.15476356000000002
68,68,Prok_Taxa00088,ecol_ts,random_01,runif_ts,0.2971,0.3985,0.2786,0.2708,0.2155874,0.213421,3,2.0,0.4,4,0.8,499,0.5,0,0.09,0.0,0.09,1,0.15880225
69,69,Prok_Taxa00089,ecol_ts,random_01,runif_ts,0.3389,0.3957,0.2744,0.268,0.2091953,0.2090973,3,1.5,0.4,4,0.7,499,0.5,0,0.09,0.0,0.09,1,0.15657849
70,70,Prok_Taxa00091,ecol_ts,random_01,runif_ts,0.3798,0.3375,0.2741,0.2762,0.2087009,0.2221086,3,0.75,0.4,4,0.2,499,0.5,0,0.08,0.0,0.08,1,0.11390625000000001
71,71,Prok_Taxa00092,ecol_ts,random_01,runif_ts,0.2841,0.4048,0.2797,0.2681,0.2173461,0.2092162,3,1.0,0.4,4,0.9,499,0.5,0,0.08,0.0,0.1,1,0.16386304
72,72,Prok_Taxa00093,ecol_ts,random_01,runif_ts,0.1699,0.3681,0.2882,0.2788,0.2307795,0.2262007,2,0.75,0.5,3,0.8,499,0.5,0,0.09,0.0,0.1,1,0.13549761
73,73,Prok_Taxa00094,ecol_ts,random_01,runif_ts,0.3446,0.4138,0.2738,0.2644,0.2082837,0.2035265,5,2.0,0.0,6,0.8,499,0.5,0,0.09,0.0,0.08,1,0.17123044
74,74,Prok_Taxa00095,ecol_ts,random_01,runif_ts,0.128,0.3716,0.2924,0.2782,0.2375986,0.2253336,3,0.75,0.4,4,0.9,499,0.5,0,0.09,0.0,0.08,1,0.13808656
75,75,Prok_Taxa00097,ecol_ts,random_01,runif_ts,0.6631,0.675,0.2195,0.2167,0.1339079,0.1366584,13,1.0,0.2,14,0.3,499,0.5,0,0.11,0.0,0.11,1,0.45562500000000006
76,76,Prok_Taxa00098,ecol_ts,random_01,runif_ts,0.3665,0.4194,0.2732,0.2633,0.2073006,0.2017435,2,1.5,0.5,3,0.8,499,0.5,0,0.09,0.0,0.1,1,0.17589636
77,77,Prok_Taxa00099,ecol_ts,random_01,runif_ts,0.2694,0.3598,0.2813,0.272,0.2197689,0.2154008,2,2.0,0.0,3,0.9,499,0.5,0,0.08,0.0,0.09,1,0.12945604
