,Taxa,w_in_sp_opt,w_in_st_opt,leak_opt
60,Prok_Taxa00079,0.4,1.5,0.6
61,Prok_Taxa00080,0.4,2.0,0.9
62,Prok_Taxa00082,0.6,1.5,0.6
63,Prok_Taxa00083,0.6,1.0,0.6
64,Prok_Taxa00084,0.5,2.0,0.8
65,Prok_Taxa00085,0.4,1.5,0.6
66,Prok_Taxa00086,0.0,1.0,0.8
67,Prok_Taxa00087,0.3,1.5,0.3
68,Prok_Taxa00088,0.4,2.0,0.8
69,Prok_Taxa00089,0.4,1.5,0.7
70,Prok_Taxa00091,0.4,0.75,0.2
71,Prok_Taxa00092,0.4,1.0,0.9
72,Prok_Taxa00093,0.5,0.75,0.8
73,Prok_Taxa00094,0.0,2.0,0.8
74,Prok_Taxa00095,0.4,0.75,0.9
75,Prok_Taxa00097,0.2,1.0,0.3
76,Prok_Taxa00098,0.5,1.5,0.8
77,Prok_Taxa00099,0.0,2.0,0.9
78,Prok_Taxa00100,0.6,0.75,0.6
79,Prok_Taxa00101,0.4,1.5,0.9
80,Prok_Taxa00102,0.4,1.0,0.8
81,Prok_Taxa00104,0.5,1.0,0.8
82,Prok_Taxa00107,0.5,1.5,0.8
83,Prok_Taxa00108,0.8,2.0,0.6
84,Prok_Taxa00110,0.6,1.5,0.7
85,Prok_Taxa00111,0.5,0.1,0.1
86,Prok_Taxa00113,0.0,1.5,0.9
87,Prok_Taxa00114,0.3,1.5,0.7
88,Prok_Taxa00115,0.6,0.25,0.5
89,Prok_Taxa00116,0.5,0.75,0.7
90,Prok_Taxa00117,0.5,1.0,0.8
91,Prok_Taxa00118,0.5,2.0,0.8
92,Prok_Taxa00119,0.3,1.0,0.5
93,Prok_Taxa00120,0.4,2.0,0.5
94,Prok_Taxa00121,0.5,2.0,0.9
95,Prok_Taxa00122,0.8,0.25,0.9
96,Prok_Taxa00123,0.5,1.5,0.8
97,Prok_Taxa00125,0.5,1.5,0.8
98,Prok_Taxa00126,0.5,2.0,0.8
99,Prok_Taxa00128,0.5,1.5,0.9
100,Prok_Taxa00129,0.2,2.0,0.5
101,Prok_Taxa00130,0.9,1.0,0.4
102,Prok_Taxa00132,0.8,1.5,0.7
103,Prok_Taxa00133,0.7,0.75,0.6
104,Prok_Taxa00134,0.9,2.0,0.3
105,Prok_Taxa00135,0.4,2.0,0.7
106,Prok_Taxa00136,0.4,2.0,0.3
107,Prok_Taxa00138,0.2,0.1,0.8
108,Prok_Taxa00139,0.4,2.0,0.8
109,Prok_Taxa00140,0.4,1.5,0.8
