,network,train_pred,test_pred,RMSE_train,RMSE_test,NMSE_train,NMSE_test,num_nodes,Win_strength,Win_sparsity,alpha,W_sparsity,leak_rate,data_size,test_fraction,washout_data,training_time,learnmodel_time,testing_time,delay,memory_capacity
40,Random Network: runif_ts,0.2003,-0.0705,0.286,0.3024,0.2299622,0.2725541,601,0.1,0.5,0.9000000000000001,0.5,0.0,864,0.5,21,0.41,0.05,0.43,136,6.139
41,Random Network: runif_ts,0.7874,0.087,0.1859,0.313,0.0971815,0.2919207,601,0.1,0.5,1.1000000000000003,0.5,0.0,864,0.5,21,0.42,0.05,0.41,136,8.511
42,Random Network: runif_ts,0.0073,0.018,0.3497,0.3389,0.3437454,0.3423581,701,0.1,0.5,0.1,0.5,0.0,864,0.5,21,0.54,0.06,0.55,136,1.013
43,Random Network: runif_ts,0.0151,-0.0124,0.3274,0.3244,0.3014006,0.3136139,701,0.1,0.5,0.30000000000000004,0.5,0.0,864,0.5,21,0.72,0.11,0.6,136,2.035
44,Random Network: runif_ts,0.0332,-0.0144,0.314,0.3145,0.2771663,0.2946912,701,0.1,0.5,0.5000000000000001,0.5,0.0,864,0.5,21,0.64,0.07,0.55,136,3.057
45,Random Network: runif_ts,0.0557,-0.0399,0.3027,0.3078,0.2575677,0.2823185,701,0.1,0.5,0.7000000000000001,0.5,0.0,864,0.5,21,0.52,0.05,0.55,136,4.078
46,Random Network: runif_ts,0.2313,-0.0672,0.2836,0.3025,0.226136,0.2726807,701,0.1,0.5,0.9000000000000001,0.5,0.0,864,0.5,21,0.61,0.06,0.59,136,6.335
47,Random Network: runif_ts,0.5999,0.0332,0.2354,0.3005,0.1557417,0.2691447,701,0.1,0.5,1.1000000000000003,0.5,0.0,864,0.5,21,0.46,0.05,0.48,136,9.961
48,Random Network: runif_ts,0.0072,0.0171,0.3496,0.339,0.3434784,0.3424145,801,0.1,0.5,0.1,0.5,0.0,864,0.5,21,0.69,0.07,0.72,136,1.013
49,Random Network: runif_ts,0.0154,-0.013,0.3269,0.324,0.3003166,0.3127857,801,0.1,0.5,0.30000000000000004,0.5,0.0,864,0.5,21,0.76,0.09,0.82,136,2.036
50,Random Network: runif_ts,0.0317,-0.0159,0.3125,0.3129,0.2744625,0.2918378,801,0.1,0.5,0.5000000000000001,0.5,0.0,864,0.5,21,1.0,0.1,1.06,136,3.057
51,Random Network: runif_ts,0.0563,-0.0528,0.3001,0.306,0.2530871,0.2790457,801,0.1,0.5,0.7000000000000001,0.5,0.0,864,0.5,21,0.94,0.09,0.76,136,4.081
52,Random Network: runif_ts,0.2604,-0.0562,0.2813,0.3,0.2223864,0.2682482,801,0.1,0.5,0.9000000000000001,0.5,0.0,864,0.5,21,0.89,0.12,0.77,136,6.379
53,Random Network: runif_ts,0.5667,0.0333,0.2423,0.3055,0.1650954,0.2781315,801,0.1,0.5,1.1000000000000003,0.5,0.0,864,0.5,21,0.76,0.09,0.79,136,10.627
54,Random Network: runif_ts,0.0071,0.0165,0.3494,0.339,0.3432117,0.3423995,901,0.1,0.5,0.1,0.5,0.0,864,0.5,21,0.95,0.06,0.85,136,1.014
55,Random Network: runif_ts,0.0174,-0.0138,0.3258,0.3234,0.2984484,0.3116698,901,0.1,0.5,0.30000000000000004,0.5,0.0,864,0.5,21,0.79,0.1,0.69,136,2.036
56,Random Network: runif_ts,0.0321,-0.0146,0.3126,0.313,0.2747268,0.2920347,901,0.1,0.5,0.5000000000000001,0.5,0.0,864,0.5,21,0.98,0.14,0.9,136,3.058
57,Random Network: runif_ts,0.0622,-0.0523,0.3008,0.3075,0.254306,0.281746,901,0.1,0.5,0.7000000000000001,0.5,0.0,864,0.5,21,1.27,0.12,1.22,136,4.08
58,Random Network: runif_ts,0.2379,-0.0644,0.2833,0.3037,0.2255373,0.2748119,901,0.1,0.5,0.9000000000000001,0.5,0.0,864,0.5,21,1.25,0.25,1.05,136,6.437
59,Random Network: runif_ts,0.8722,-0.0168,0.1491,0.3503,0.0624497,0.3657384,901,0.1,0.5,1.1000000000000003,0.5,0.0,864,0.5,21,0.79,0.1,0.95,136,8.729
