reservoir_name,reservoir_E,train_ridge_score,train_cor,train_r2,test_ridge_score,test_cor,test_r2,washout_data,learnmodel_time,testing_time,E,delay_tp,temporal_cor,temporal_r2
Tetrahymena Reservoir,3,0.2205,0.4729,0.2236,0.0717,0.2964,0.0878,0,0.0,0.0,3,16,-0.024104216891086803,0.0005810132719325543
Tetrahymena Reservoir,3,0.2035,0.4542,0.2063,0.046,0.2596,0.0674,0,0.0,0.0,3,17,-0.05366334422271265,0.002879754513165347
Tetrahymena Reservoir,3,0.1856,0.4338,0.1881,0.023,0.2232,0.0498,0,0.0,0.0,3,18,-0.08401750106700213,0.007058940485543705
Tetrahymena Reservoir,3,0.1612,0.4042,0.1634,0.0075,0.1899,0.0361,0,0.0,0.0,3,19,-0.11423288655468805,0.01304915237061623
Tetrahymena Reservoir,3,0.1334,0.3677,0.1352,-0.0033,0.1568,0.0246,0,0.0,0.0,3,20,-0.14259514804043588,0.020333376244673827
Tetrahymena Reservoir,3,0.1027,0.3225,0.104,-0.0081,0.1282,0.0164,0,0.0,0.0,3,21,-0.16749750153840454,0.02805541302160783
Tetrahymena Reservoir,3,0.0738,0.2734,0.0747,-0.0073,0.1057,0.0112,0,0.0,0.0,3,22,-0.18781920291421483,0.03527605298333101
Tetrahymena Reservoir,3,0.0487,0.2221,0.0493,-0.0043,0.0874,0.0076,0,0.01,0.0,3,23,-0.2019568615505003,0.04078657392732794
Tetrahymena Reservoir,3,0.0295,0.1729,0.0299,0.0004,0.0783,0.0061,0,0.0,0.0,3,24,-0.2088028149323669,0.043598615523680266
Tetrahymena Reservoir,3,0.0161,0.1275,0.0163,0.0056,0.082,0.0067,0,0.0,0.0,3,25,-0.2082622667797349,0.04337317176423346
Tetrahymena Reservoir,3,0.0078,0.0884,0.0078,0.0117,0.1116,0.0125,0,0.0,0.0,3,26,-0.2010556853600356,0.04042338861559363
Tetrahymena Reservoir,3,0.0043,0.0653,0.0043,0.019,0.1773,0.0314,0,0.0,0.0,3,27,-0.188499350753931,0.03553200523465351
Tetrahymena Reservoir,3,0.0051,0.0714,0.0051,0.027,0.2259,0.051,0,0.0,0.0,3,28,-0.17266971690418526,0.02981483113577148
Tetrahymena Reservoir,3,0.0094,0.0973,0.0095,0.0359,0.241,0.0581,0,0.0,0.0,3,29,-0.15479805440340627,0.023962437647079927
Tetrahymena Reservoir,3,0.0155,0.1251,0.0156,0.0431,0.2447,0.0599,0,0.0,0.0,3,30,-0.1364551119627436,0.01861999758076489
Tetrahymena Reservoir,3,0.0227,0.1516,0.023,0.0507,0.2518,0.0634,0,0.0,0.0,3,31,-0.11897533948846806,0.014155131406396227
Tetrahymena Reservoir,3,0.0304,0.1756,0.0308,0.0557,0.2536,0.0643,0,0.0,0.0,3,32,-0.10266544343256159,0.010540193275204505
Tetrahymena Reservoir,3,0.0381,0.1968,0.0387,0.0569,0.248,0.0615,0,0.0,0.0,3,33,-0.08760075896186627,0.007673892970694993
Tetrahymena Reservoir,3,0.0453,0.2148,0.0461,0.0539,0.2354,0.0554,0,0.0,0.0,3,34,-0.07330442232933666,0.005373538333037752
Tetrahymena Reservoir,3,0.0529,0.232,0.0538,0.0469,0.2168,0.047,0,0.0,0.0,3,35,-0.05895792073249435,0.0034760364170990867
Tetrahymena Reservoir,3,0.062,0.2512,0.0631,0.0364,0.1945,0.0378,0,0.0,0.0,3,36,-0.04420403230415503,0.0019539964719467815
Tetrahymena Reservoir,3,0.0738,0.2742,0.0752,0.0228,0.1704,0.029,0,0.0,0.0,3,37,-0.028997267925064612,0.000840841547117981
Tetrahymena Reservoir,3,0.088,0.2994,0.0896,0.01,0.1527,0.0233,0,0.0,0.0,3,38,-0.012449836557866996,0.00015499843031760153
Tetrahymena Reservoir,3,0.1032,0.3241,0.105,-0.0031,0.1378,0.019,0,0.0,0.0,3,39,0.004958803318666676,2.458973035321964e-05
Tetrahymena Reservoir,3,0.1183,0.3469,0.1203,-0.0151,0.1264,0.016,0,0.0,0.0,3,40,0.0222661497374349,0.0004957814241298723
Tetrahymena Reservoir,3,0.1338,0.3689,0.1361,-0.0224,0.1242,0.0154,0,0.0,0.0,3,41,0.038257747729768546,0.0014636552613546104
Tetrahymena Reservoir,3,0.1507,0.3914,0.1532,-0.0259,0.1285,0.0165,0,0.0,0.0,3,42,0.05089791749679098,0.002590598005510141
Tetrahymena Reservoir,3,0.1592,0.4022,0.1617,-0.0251,0.1333,0.0178,0,0.0,0.0,3,43,0.05796196280506722,0.003359589132215996
Tetrahymena Reservoir,3,0.1607,0.4039,0.1631,-0.0219,0.1359,0.0185,0,0.0,0.0,3,44,0.05776175104530716,0.003336419883820043
Tetrahymena Reservoir,3,0.1564,0.3981,0.1585,-0.0173,0.136,0.0185,0,0.0,0.0,3,45,0.04940339018217961,0.002440694961492681
Tetrahymena Reservoir,3,0.1453,0.3834,0.147,-0.0132,0.1316,0.0173,0,0.0,0.0,3,46,0.033556201376544775,0.0011260186508232255
Tetrahymena Reservoir,3,0.1289,0.361,0.1303,-0.0103,0.1217,0.0148,0,0.0,0.0,3,47,0.012742060664953005,0.00016236010998934262
Tetrahymena Reservoir,3,0.1101,0.3332,0.1111,-0.0058,0.1138,0.013,0,0.0,0.0,3,48,-0.00956740451420876,9.153522913850217e-05
Tetrahymena Reservoir,3,0.0906,0.302,0.0912,-0.0005,0.1093,0.0119,0,0.0,0.0,3,49,-0.03019756172946237,0.0009118927344046904
Tetrahymena Reservoir,3,0.0752,0.2751,0.0757,0.0032,0.1074,0.0115,0,0.0,0.0,3,50,-0.04663466319052462,0.002174791810893672
Tetrahymena Reservoir,3,0.0625,0.2506,0.0628,0.0057,0.1069,0.0114,0,0.01,0.0,3,51,-0.0573248983833612,0.003286143974662688
Tetrahymena Reservoir,3,0.0522,0.229,0.0525,0.004,0.0974,0.0095,0,0.0,0.0,3,52,-0.06135222051604858,0.0037640949622498522
Tetrahymena Reservoir,3,0.0436,0.2093,0.0438,-0.0017,0.0756,0.0057,0,0.0,0.0,3,53,-0.05811808044463555,0.0033777112745691294
Tetrahymena Reservoir,3,0.0355,0.189,0.0357,-0.0102,0.0415,0.0017,0,0.0,0.0,3,54,-0.04796632866170419,0.0023007686852826244
Tetrahymena Reservoir,3,0.0288,0.1701,0.0289,-0.021,-0.0052,0.0,0,0.0,0.0,3,55,-0.03147065156164998,0.0009904019097147821
Tetrahymena Reservoir,3,0.0231,0.1526,0.0233,-0.0297,-0.0505,0.0025,0,0.0,0.0,3,56,-0.0098705546810036,9.742784971068209e-05
Tetrahymena Reservoir,3,0.0199,0.1419,0.0201,-0.0357,-0.0849,0.0072,0,0.0,0.0,3,57,0.014323777067312702,0.00020517058947407325
Tetrahymena Reservoir,3,0.0196,0.1409,0.0199,-0.0381,-0.0966,0.0093,0,0.0,0.0,3,58,0.03781814960960778,0.0014302124398946773
Tetrahymena Reservoir,3,0.0213,0.1471,0.0216,-0.0361,-0.0808,0.0065,0,0.0,0.0,3,59,0.057215935128935594,0.003273663232678566
