"< Measurement Data Text Output >"
""
"Date/Time","@date()","ch.1","ch.2","ch.3","ch.4","ch.5","ch.6","ch.7","ch.8"
"","","ßC","","","","","","",""
"2021/05/06 18:53'00","44322.7868055556","  15.1000","","","","","","","",
"2021/05/06 18:54'00","44322.7875000000","  15.0000","","","","","","","",
"2021/05/06 18:55'00","44322.7881944444","  15.0000","","","","","","","",
"2021/05/06 18:56'00","44322.7888888889","  15.0000","","","","","","","",
"2021/05/06 18:57'00","44322.7895833333","  15.2000","","","","","","","",
"2021/05/06 18:58'00","44322.7902777778","  15.3000","","","","","","","",
"2021/05/06 18:59'00","44322.7909722222","  15.5000","","","","","","","",
"2021/05/06 19:00'00","44322.7916666667","  15.8000","","","","","","","",
"2021/05/06 19:01'00","44322.7923611111","  16.0000","","","","","","","",
"2021/05/06 19:02'00","44322.7930555556","  16.3000","","","","","","","",
"2021/05/06 19:03'00","44322.7937500000","  16.5000","","","","","","","",
"2021/05/06 19:04'00","44322.7944444444","  16.7000","","","","","","","",
"2021/05/06 19:05'00","44322.7951388889","  17.0000","","","","","","","",
"2021/05/06 19:06'00","44322.7958333333","  17.2000","","","","","","","",
"2021/05/06 19:07'00","44322.7965277778","  17.4000","","","","","","","",
"2021/05/06 19:08'00","44322.7972222222","  17.4000","","","","","","","",
"2021/05/06 19:09'00","44322.7979166667","  17.6000","","","","","","","",
"2021/05/06 19:10'00","44322.7986111111","  17.6000","","","","","","","",
"2021/05/06 19:11'00","44322.7993055556","  17.7000","","","","","","","",
"2021/05/06 19:12'00","44322.8000000000","  17.5000","","","","","","","",
"2021/05/06 19:13'00","44322.8006944444","  17.5000","","","","","","","",
"2021/05/06 19:14'00","44322.8013888889","  17.5000","","","","","","","",
"2021/05/06 19:15'00","44322.8020833333","  17.4000","","","","","","","",
"2021/05/06 19:16'00","44322.8027777778","  17.4000","","","","","","","",
"2021/05/06 19:17'00","44322.8034722222","  17.2000","","","","","","","",
"2021/05/06 19:18'00","44322.8041666667","  17.2000","","","","","","","",
"2021/05/06 19:19'00","44322.8048611111","  16.9000","","","","","","","",
"2021/05/06 19:20'00","44322.8055555556","  16.8000","","","","","","","",
"2021/05/06 19:21'00","44322.8062500000","  16.5000","","","","","","","",
"2021/05/06 19:22'00","44322.8069444444","  16.3000","","","","","","","",
"2021/05/06 19:23'00","44322.8076388889","  16.0000","","","","","","","",
