"time","x","y","z"
19.59,3.41766544912305,2.66600195747721,22.5807990557795
19.69,3.69314318552283,4.91127886572089,18.4101351960865
19.79,5.89368831041081,9.16205742221116,17.0068529049175
19.89,10.1835110953817,15.1139133290767,21.8523867820132
19.99,13.5056912548101,13.6287904592965,33.5205740370342
20.09,9.78996003882868,3.72292800639109,34.7193536349201
20.19,4.57307627937035,0.938547991877707,27.7069255309131
20.29,2.55066292113626,1.86557449563104,21.5854937344641
20.39,2.77269803943177,3.81121896589476,17.1541258379451
20.49,4.70056638837734,7.65784797349802,14.9703856687732
20.59,8.96505482642653,14.4807351568149,18.1784287193233
20.69,14.0228404461754,16.683941569557,31.5021869490605
20.79,11.4753741831698,4.66528083274179,37.1613695420488
20.89,4.7850537417148,-0.350648761001135,29.5018241142159
20.99,1.64219827523474,0.119292690069058,22.5293739278322
21.09,1.00711416690971,1.01955301973172,17.3127854986186
21.19,1.45678913613505,2.35008502414406,13.4331879133931
21.29,2.99266025175264,5.36664661664203,11.0177426004896
21.39,6.78416567529738,12.3161667072435,12.1747435028917
21.49,13.7412293626816,20.6477023979707,25.3490684329021
21.59,14.6292074718721,7.90291496334944,41.006956840577
21.69,5.47848647948469,-2.75458697197687,32.7844975344063
21.79,0.108966470633397,-2.89937230705536,24.5188251074574
21.89,-1.86260758683618,-3.32924159849471,19.0588269334791
21.99,-3.57417411449669,-5.81314211493602,15.6724634336686
22.09,-6.84497714202714,-11.3407933758497,15.8978707380143
22.19,-12.2196347721502,-17.4996578455511,25.0038522364882
22.29,-13.724968130171,-10.1287218718092,37.3295575735667
22.39,-7.35250216556306,-0.589086833819561,32.9839966591508
22.49,-2.59268639795204,0.149394836750308,25.2259028696002
22.59,-1.18174682493031,-0.746891114728457,19.3571100757911
22.69,-1.29846841994078,-1.89054763277437,14.9594478581222
22.79,-2.42668195445222,-4.21905255988102,11.9393756494325
22.89,-5.33814929855619,-9.68274725005935,11.4590079201776
