reservoir_name,reservoir_E,train_ridge_score,train_cor,train_r2,train_rmse,train_nmse,test_ridge_score,test_cor,test_r2,test_rmse,test_nmse,washout_data,learnmodel_time,testing_time,E,delay_tp,temporal_cor,temporal_r2,temporal_rmse,temporal_nmse,ridge_train_cor,ridge_train_r2,ridge_train_score,ridge_train_rmse,ridge_train_nmse,ridge_test_cor,ridge_test_r2,ridge_test_rmse,ridge_test_nmse
Tetrahymena Reservoir,3,0.2364,0.4897,0.2398,0.821072,0.749143,0.0978,0.3312,0.1097,0.892499,0.885151,0,0.0,0.0,3,15,0.004380013351663057,1.9184516960746642e-05,1.322821559378173,1.9519351505054323,0.004380013351663117,1.9184516960747174e-05,0.004380013351663117,0.9396329387756988,0.9811123668561482,0.004380013351663117,1.9184516960747174e-05,0.9396329387756988,0.9811123668561482
Tetrahymena Reservoir,3,0.2205,0.4729,0.2236,0.828008,0.765499,0.0717,0.2964,0.0878,0.903598,0.911645,0,0.0,0.0,3,16,-0.024104216891086803,0.0005810132719325543,1.3410543748695056,2.0017130075680356,0.024104216891086702,0.0005810132719325495,0.024104216891086702,0.9375627400726454,0.9814671744848791,0.024104216891086702,0.0005810132719325495,0.9375627400726454,0.9814671744848791
Tetrahymena Reservoir,3,0.2035,0.4542,0.2063,0.834327,0.782984,0.046,0.2596,0.0674,0.91312,0.937857,0,0.0,0.0,3,17,-0.05366334422271265,0.002879754513165347,1.3589509095728194,2.050977175310224,0.053663344222712635,0.0028797545131653457,0.053663344222712635,0.93351973138614,0.980229177785081,0.053663344222712635,0.0028797545131653457,0.93351973138614,0.980229177785081
Tetrahymena Reservoir,3,0.1856,0.4338,0.1881,0.840349,0.801443,0.023,0.2232,0.0498,0.920438,0.961484,0,0.0,0.0,3,18,-0.08401750106700213,0.007058940485543705,1.3764899455595299,2.100443629081519,0.08401750106700205,0.007058940485543691,0.08401750106700205,0.9279200488818171,0.9771786160641353,0.08401750106700205,0.007058940485543691,0.9279200488818171,0.9771786160641353
Tetrahymena Reservoir,3,0.1612,0.4042,0.1634,0.84925,0.826362,0.0075,0.1899,0.0361,0.923778,0.977766,0,0.0,0.0,3,19,-0.11423288655468805,0.01304915237061623,1.3932536384638816,2.149343297023904,0.11423288655468807,0.013049152370616234,0.11423288655468807,0.9212084316879773,0.9723333837129032,0.11423288655468807,0.013049152370616234,0.9212084316879773,0.9723333837129032
Tetrahymena Reservoir,3,0.1334,0.3677,0.1352,0.860117,0.854598,-0.0033,0.1568,0.0246,0.925501,0.989465,0,0.0,0.0,3,20,-0.14259514804043588,0.020333376244673827,1.4087434083044694,2.1967332044055365,0.14259514804043605,0.02033337624467387,0.14259514804043605,0.9145169922132808,0.9661186324024711,0.14259514804043605,0.02033337624467387,0.9145169922132808,0.9661186324024711
Tetrahymena Reservoir,3,0.1027,0.3225,0.104,0.872648,0.885726,-0.0081,0.1282,0.0164,0.924935,0.995047,0,0.0,0.0,3,21,-0.16749750153840454,0.02805541302160783,1.4219111327314657,2.239931751419488,0.16749750153840456,0.02805541302160784,0.16749750153840456,0.9082065060921898,0.9593781918696019,0.16749750153840456,0.02805541302160784,0.9082065060921898,0.9593781918696019
Tetrahymena Reservoir,3,0.0738,0.2734,0.0747,0.884484,0.915017,-0.0073,0.1057,0.0112,0.92236,0.995063,0,0.0,0.0,3,22,-0.18781920291421483,0.03527605298333101,1.4321367479948393,2.276835126533652,0.18781920291421464,0.03527605298333093,0.18781920291421464,0.9026746401463531,0.9530417915109083,0.18781920291421464,0.03527605298333093,0.9026746401463531,0.9530417915109083
Tetrahymena Reservoir,3,0.0487,0.2221,0.0493,0.894384,0.940517,-0.0043,0.0874,0.0076,0.918942,0.992876,0,0.0,0.0,3,23,-0.2019568615505003,0.04078657392732794,1.4379282967604343,2.30464912024234,0.2019568615505002,0.0407865739273279,0.2019568615505002,0.8980990822009621,0.9483471709130566,0.2019568615505002,0.0407865739273279,0.8980990822009621,0.9483471709130566
Tetrahymena Reservoir,3,0.0295,0.1729,0.0299,0.901679,0.960193,0.0004,0.0783,0.0061,0.91512,0.989034,0,0.0,0.0,3,24,-0.2088028149323669,0.043598615523680266,1.4394057001853207,2.3197762705086995,0.2088028149323668,0.04359861552368022,0.2088028149323668,0.8951124034460176,0.9462586497422543,0.2088028149323668,0.04359861552368022,0.8951124034460176,0.9462586497422543
Tetrahymena Reservoir,3,0.0161,0.1275,0.0163,0.906181,0.974177,0.0056,0.082,0.0067,0.911005,0.984578,0,0.0,0.0,3,25,-0.2082622667797349,0.04337317176423346,1.437186647319371,2.318155971806649,0.2082622667797348,0.04337317176423343,0.2082622667797348,0.8935251827189251,0.9471565744424265,0.2082622667797348,0.04337317176423343,0.8935251827189251,0.9471565744424265
Tetrahymena Reservoir,3,0.0078,0.0884,0.0078,0.908428,0.983078,0.0117,0.1116,0.0125,0.906633,0.979196,0,0.0,0.0,3,26,-0.2010556853600356,0.04042338861559363,1.4318731000726221,2.301428696214655,0.20105568536003546,0.040423388615593574,0.20105568536003546,0.8933517791341264,0.9507185689731954,0.20105568536003546,0.040423388615593574,0.8933517791341264,0.9507185689731954
Tetrahymena Reservoir,3,0.0043,0.0653,0.0043,0.908761,0.987164,0.019,0.1773,0.0314,0.902001,0.972532,0,0.0,0.0,3,27,-0.188499350753931,0.03553200523465351,1.4242040322959963,2.272879728648441,0.18849935075393096,0.03553200523465349,0.18849935075393096,0.8943747933674673,0.9561566283376345,0.18849935075393096,0.03553200523465349,0.8943747933674673,0.9561566283376345
Tetrahymena Reservoir,3,0.0051,0.0714,0.0051,0.907552,0.986887,0.027,0.2259,0.051,0.897493,0.965131,0,0.0,0.0,3,28,-0.17266971690418526,0.02981483113577148,1.414987079300729,2.238386864790731,0.17266971690418517,0.02981483113577145,0.17266971690418517,0.8961994225656545,0.9623507482977184,0.17266971690418517,0.02981483113577145,0.8961994225656545,0.9623507482977184
