,Taxa,w_in_sp_opt,w_in_st_opt,w_bc_sp_opt,w_bc_st_opt,train_pred,test_pred,RMSE_train,RMSE_test,NMSE_train,NMSE_test
229,Prok_Taxa00305,0.8,1.0,0.9,2.0,0.987,0.8854,0.0401,0.1175,0.0041851,0.0355817
230,Prok_Taxa00307,0.2,0.5,0.9,2.0,0.9898,0.8723,0.0355,0.1276,0.0032815,0.0419826
231,Prok_Taxa00308,0.6,1.0,0.0,0.5,0.9764,0.7715,0.0539,0.1703,0.0075554,0.0747216
232,Prok_Taxa00310,0.4,2.0,0.8,0.5,0.9692,0.8346,0.0614,0.1631,0.0098085,0.0685303
233,Prok_Taxa00311,0.4,2.0,0.8,0.5,0.981,0.8793,0.0485,0.1205,0.0061074,0.0374249
234,Prok_Taxa00312,0.2,2.0,0.8,0.5,0.9679,0.7617,0.0628,0.1904,0.0102493,0.0933757
235,Prok_Taxa00313,0.0,1.0,0.0,0.5,0.9844,0.7616,0.0438,0.1655,0.0049985,0.0706245
236,Prok_Taxa00314,0.6,0.5,0.4,0.8,0.9908,0.8512,0.0338,0.132,0.0029781,0.0448993
237,Prok_Taxa00315,0.0,1.5,0.6,0.5,0.9885,0.6889,0.0377,0.1969,0.0036907,0.0998703
238,Prok_Taxa00316,0.0,1.0,0.6,0.5,0.9419,0.1465,0.0838,0.2483,0.0182569,0.1588807
239,Prok_Taxa00317,0.0,2.0,0.8,0.5,0.9809,0.8626,0.0485,0.1288,0.006112,0.0427695
240,Prok_Taxa00318,0.2,1.0,0.0,0.8,0.9815,0.4469,0.0477,0.2359,0.0059287,0.1433573
241,Prok_Taxa00319,0.6,0.8,0.8,1.0,0.9844,0.8782,0.0438,0.1231,0.0050008,0.0390665
242,Prok_Taxa00321,0.8,0.8,0.0,1.0,0.9868,0.606,0.0404,0.2057,0.0042523,0.1089879
243,Prok_Taxa00322,0.4,0.5,0.0,0.5,0.9541,0.6656,0.0747,0.2037,0.0145196,0.106956
244,Prok_Taxa00323,0.4,2.0,0.8,2.0,0.9948,0.9467,0.0253,0.0813,0.0016686,0.0170164
245,Prok_Taxa00324,0.0,1.5,0.6,0.8,0.8942,0.0805,0.1116,0.25,0.0324244,0.1611092
246,Prok_Taxa00326,0.0,2.0,0.6,1.5,0.9826,0.7463,0.0463,0.1866,0.0055784,0.0897511
247,Prok_Taxa00328,0.6,2.0,0.6,1.0,0.921,0.0541,0.0972,0.2506,0.0245624,0.1617829
248,Prok_Taxa00329,0.0,1.0,0.6,0.8,0.9521,0.093,0.0763,0.25,0.0151347,0.1610045
249,Prok_Taxa00330,0.4,2.0,0.6,0.5,0.9785,0.8046,0.0516,0.151,0.0069148,0.0587438
250,Prok_Taxa00331,0.2,0.8,0.2,0.5,0.9901,0.8411,0.035,0.1366,0.0031805,0.0481136
251,Prok_Taxa00332,0.0,2.0,0.0,2.0,0.9461,0.7693,0.0808,0.1827,0.0169818,0.0859908
252,Prok_Taxa00333,0.6,1.0,0.4,2.0,0.9601,0.7866,0.0697,0.1721,0.0126448,0.0763491
253,Prok_Taxa00337,0.0,0.5,0.0,0.5,0.9035,0.0782,0.1069,0.2555,0.0297504,0.16822
254,Prok_Taxa00338,0.0,0.8,0.6,0.8,0.9162,0.0998,0.0999,0.2543,0.0259881,0.16666
255,Prok_Taxa00340,0.9,0.5,0.9,0.5,0.9809,0.8095,0.0486,0.1581,0.006145,0.0644429
256,Prok_Taxa00341,0.0,1.0,0.6,0.5,0.8658,0.0756,0.1248,0.2499,0.0405054,0.1608774
257,Prok_Taxa00343,0.6,2.0,0.0,0.8,0.9783,0.8116,0.0516,0.1499,0.0069379,0.0578797
258,Prok_Taxa00345,0.6,2.0,0.6,2.0,0.9898,0.8207,0.0355,0.1453,0.0032852,0.0544218
259,Prok_Taxa00346,0.2,0.5,0.2,2.0,0.9855,0.7804,0.0424,0.1624,0.004673,0.0679965
260,Prok_Taxa00349,0.2,1.0,0.6,1.0,0.9906,0.8718,0.0342,0.1244,0.003041,0.0398777
261,Prok_Taxa00350,0.0,1.0,0.8,0.5,0.9708,0.8016,0.0599,0.1577,0.0093193,0.0641246
262,Prok_Taxa00351,0.4,1.5,0.6,1.0,0.986,0.8409,0.0416,0.151,0.0045096,0.0587797
263,Prok_Taxa00352,0.0,1.0,0.6,2.0,0.9588,0.1273,0.0709,0.2486,0.0130712,0.1592407
264,Prok_Taxa00353,0.8,1.5,0.9,2.0,0.9902,0.8965,0.0349,0.1116,0.0031611,0.0320771
265,Prok_Taxa00354,0.6,0.8,0.8,0.5,0.9781,0.7906,0.052,0.1743,0.0070288,0.078256
266,Prok_Taxa00355,0.0,1.5,0.4,1.5,0.9842,0.7835,0.0441,0.16,0.0050667,0.0659934
267,Prok_Taxa00358,0.8,1.0,0.2,0.5,0.9872,0.6145,0.0399,0.2018,0.0041334,0.1049841
268,Prok_Taxa00359,0.8,1.5,0.0,0.8,0.9761,0.4299,0.0542,0.2273,0.0076542,0.1331463
269,Prok_Taxa00360,0.8,1.5,0.9,2.0,0.9928,0.8866,0.03,0.1217,0.0023371,0.0381897
270,Prok_Taxa00361,0.9,0.5,0.4,2.0,0.984,0.8612,0.0444,0.1311,0.0051241,0.0442599
271,Prok_Taxa00362,0.0,2.0,0.0,2.0,0.9881,0.4604,0.0384,0.2424,0.0038327,0.1513775
272,Prok_Taxa00364,0.0,1.0,0.0,0.5,0.7912,0.0862,0.1525,0.2497,0.0605226,0.1606452
273,Prok_Taxa00368,0.4,0.8,0.4,0.5,0.9836,0.8341,0.045,0.1435,0.0052565,0.053085
274,Prok_Taxa00369,0.8,0.5,0.6,1.0,0.9884,0.7141,0.0379,0.1779,0.0037343,0.0815813
275,Prok_Taxa00370,0.4,0.8,0.4,0.8,0.9462,0.3431,0.0807,0.2393,0.0169374,0.1475565
276,Prok_Taxa00371,0.8,0.5,0.0,0.8,0.985,0.7616,0.0431,0.1691,0.0048269,0.0736489
277,Prok_Taxa00372,0.8,1.5,0.4,1.0,0.9835,0.8338,0.0451,0.1453,0.0052934,0.0544392
278,Prok_Taxa00373,0.2,2.0,0.2,0.5,0.9886,0.7346,0.0375,0.1759,0.0036634,0.0797781
279,Prok_Taxa00374,0.2,0.8,0.4,0.8,0.9852,0.8694,0.0428,0.1241,0.0047678,0.039656
280,Prok_Taxa00376,0.0,2.0,0.4,0.5,0.9644,0.2607,0.066,0.2449,0.011334,0.1545595
281,Prok_Taxa00377,0.0,0.5,0.8,0.5,0.9406,-0.0264,0.0847,0.2577,0.0186645,0.1710769
282,Prok_Taxa00378,0.0,1.5,0.0,0.5,0.8527,0.1161,0.1303,0.2505,0.0441382,0.1617379
283,Prok_Taxa00379,0.0,0.8,0.4,0.8,0.9381,0.4488,0.0864,0.2433,0.0194066,0.1524824
284,Prok_Taxa00380,0.9,1.5,0.4,0.8,0.9856,0.8677,0.0421,0.1262,0.0046151,0.041053
285,Prok_Taxa00381,0.4,1.5,0.6,1.5,0.9411,0.1812,0.0844,0.2471,0.0185107,0.157407
286,Prok_Taxa00382,0.2,2.0,0.6,1.5,0.9928,0.853,0.0299,0.1373,0.002327,0.0485932
287,Prok_Taxa00383,0.4,1.5,0.2,0.5,0.987,0.8355,0.04,0.1378,0.0041676,0.0489068
288,Prok_Taxa00384,0.4,2.0,0.4,2.0,0.9804,0.8836,0.0491,0.1257,0.006277,0.0407357
289,Prok_Taxa00385,0.0,1.5,0.0,0.8,0.8924,0.0452,0.1126,0.2515,0.0329654,0.1630414
290,Prok_Taxa00386,0.6,1.0,0.2,2.0,0.9801,0.8415,0.0495,0.1376,0.006384,0.0487818
291,Prok_Taxa00387,0.0,0.5,0.9,0.8,0.9815,0.8051,0.0477,0.1498,0.0059189,0.0578314
292,Prok_Taxa00388,0.4,0.5,0.8,0.8,0.9875,0.8454,0.0393,0.1341,0.004011,0.0463459
