"< Measurement Data Text Output >"
""
"Date/Time","@date()","ch.1","ch.2","ch.3","ch.4","ch.5","ch.6","ch.7","ch.8"
"","","ßC","","","","","","",""
"2021/04/12 18:22'16","44298.7654629630","  25.1000","","","","","","","",
"2021/04/12 18:23'16","44298.7661574074","  25.5000","","","","","","","",
"2021/04/12 18:24'16","44298.7668518519","  25.2000","","","","","","","",
"2021/04/12 18:25'16","44298.7675462963","  25.6000","","","","","","","",
"2021/04/12 18:26'16","44298.7682407407","  25.4000","","","","","","","",
"2021/04/12 18:27'16","44298.7689351852","  25.7000","","","","","","","",
"2021/04/12 18:28'16","44298.7696296296","  25.4000","","","","","","","",
"2021/04/12 18:29'16","44298.7703240741","  25.7000","","","","","","","",
"2021/04/12 18:30'16","44298.7710185185","  25.5000","","","","","","","",
"2021/04/12 18:31'16","44298.7717129630","  25.7000","","","","","","","",
"2021/04/12 18:32'16","44298.7724074074","  25.5000","","","","","","","",
"2021/04/12 18:33'16","44298.7731018519","  25.8000","","","","","","","",
"2021/04/12 18:34'16","44298.7737962963","  25.3000","","","","","","","",
"2021/04/12 18:35'16","44298.7744907407","  25.2000","","","","","","","",
"2021/04/12 18:36'16","44298.7751851852","  25.1000","","","","","","","",
"2021/04/12 18:37'16","44298.7758796296","  25.1000","","","","","","","",
"2021/04/12 18:38'16","44298.7765740741","  25.0000","","","","","","","",
"2021/04/12 18:39'16","44298.7772685185","  24.9000","","","","","","","",
"2021/04/12 18:40'16","44298.7779629630","  24.8000","","","","","","","",
"2021/04/12 18:41'16","44298.7786574074","  25.3000","","","","","","","",
"2021/04/12 18:42'16","44298.7793518519","  25.1000","","","","","","","",
"2021/04/12 18:43'16","44298.7800462963","  25.6000","","","","","","","",
"2021/04/12 18:44'16","44298.7807407407","  25.3000","","","","","","","",
"2021/04/12 18:45'16","44298.7814351852","  25.1000","","","","","","","",
"2021/04/12 18:46'16","44298.7821296296","  25.0000","","","","","","","",
"2021/04/12 18:47'16","44298.7828240741","  25.0000","","","","","","","",
"2021/04/12 18:48'16","44298.7835185185","  24.9000","","","","","","","",
"2021/04/12 18:49'16","44298.7842129630","  24.8000","","","","","","","",
"2021/04/12 18:50'16","44298.7849074074","  25.1000","","","","","","","",
"2021/04/12 18:51'16","44298.7856018519","  25.1000","","","","","","","",
"2021/04/12 18:52'16","44298.7862962963","  25.5000","","","","","","","",
"2021/04/12 18:53'16","44298.7869907407","  25.3000","","","","","","","",
"2021/04/12 18:54'16","44298.7876851852","  25.1000","","","","","","","",
"2021/04/12 18:55'16","44298.7883796296","  25.0000","","","","","","","",
"2021/04/12 18:56'16","44298.7890740741","  25.0000","","","","","","","",
"2021/04/12 18:57'16","44298.7897685185","  24.9000","","","","","","","",
"2021/04/12 18:58'16","44298.7904629630","  24.8000","","","","","","","",
"2021/04/12 18:59'16","44298.7911574074","  24.8000","","","","","","","",
"2021/04/12 19:00'16","44298.7918518519","  25.3000","","","","","","","",
"2021/04/12 19:01'16","44298.7925462963","  25.3000","","","","","","","",
"2021/04/12 19:02'16","44298.7932407407","  25.5000","","","","","","","",
"2021/04/12 19:03'16","44298.7939351852","  25.4000","","","","","","","",
"2021/04/12 19:04'16","44298.7946296296","  25.6000","","","","","","","",
"2021/04/12 19:05'16","44298.7953240741","  25.4000","","","","","","","",
"2021/04/12 19:06'16","44298.7960185185","  25.6000","","","","","","","",
"2021/04/12 19:07'16","44298.7967129630","  25.6000","","","","","","","",
"2021/04/12 19:08'16","44298.7974074074","  25.7000","","","","","","","",
"2021/04/12 19:09'16","44298.7981018519","  25.7000","","","","","","","",
"2021/04/12 19:10'16","44298.7987962963","  25.7000","","","","","","","",
"2021/04/12 19:11'16","44298.7994907407","  25.7000","","","","","","","",
"2021/04/12 19:12'16","44298.8001851852","  25.7000","","","","","","","",
"2021/04/12 19:13'16","44298.8008796296","  25.3000","","","","","","","",
"2021/04/12 19:14'16","44298.8015740741","  25.2000","","","","","","","",
"2021/04/12 19:15'16","44298.8022685185","  25.1000","","","","","","","",
"2021/04/12 19:16'16","44298.8029629630","  25.1000","","","","","","","",
"2021/04/12 19:17'16","44298.8036574074","  25.0000","","","","","","","",
"2021/04/12 19:18'16","44298.8043518519","  24.9000","","","","","","","",
"2021/04/12 19:19'16","44298.8050462963","  24.8000","","","","","","","",
"2021/04/12 19:20'16","44298.8057407407","  24.7000","","","","","","","",
"2021/04/12 19:21'16","44298.8064351852","  24.7000","","","","","","","",
"2021/04/12 19:22'16","44298.8071296296","  25.3000","","","","","","","",
"2021/04/12 19:23'16","44298.8078240741","  25.1000","","","","","","","",
"2021/04/12 19:24'16","44298.8085185185","  25.5000","","","","","","","",
"2021/04/12 19:25'16","44298.8092129630","  25.4000","","","","","","","",
"2021/04/12 19:26'16","44298.8099074074","  25.6000","","","","","","","",
"2021/04/12 19:27'16","44298.8106018519","  25.5000","","","","","","","",
"2021/04/12 19:28'16","44298.8112962963","  25.7000","","","","","","","",
"2021/04/12 19:29'16","44298.8119907407","  25.6000","","","","","","","",
"2021/04/12 19:30'16","44298.8126851852","  25.7000","","","","","","","",
"2021/04/12 19:31'16","44298.8133796296","  25.4000","","","","","","","",
"2021/04/12 19:32'16","44298.8140740741","  25.3000","","","","","","","",
"2021/04/12 19:33'16","44298.8147685185","  25.2000","","","","","","","",
"2021/04/12 19:34'16","44298.8154629630","  25.2000","","","","","","","",
"2021/04/12 19:35'16","44298.8161574074","  25.1000","","","","","","","",
"2021/04/12 19:36'16","44298.8168518519","  25.0000","","","","","","","",
"2021/04/12 19:37'16","44298.8175462963","  24.9000","","","","","","","",
"2021/04/12 19:38'16","44298.8182407407","  25.1000","","","","","","","",
"2021/04/12 19:39'16","44298.8189351852","  25.3000","","","","","","","",
"2021/04/12 19:40'16","44298.8196296296","  25.6000","","","","","","","",
"2021/04/12 19:41'16","44298.8203240741","  25.4000","","","","","","","",
"2021/04/12 19:42'16","44298.8210185185","  25.5000","","","","","","","",
"2021/04/12 19:43'16","44298.8217129630","  25.5000","","","","","","","",
"2021/04/12 19:44'16","44298.8224074074","  25.6000","","","","","","","",
"2021/04/12 19:45'16","44298.8231018519","  25.5000","","","","","","","",
"2021/04/12 19:46'16","44298.8237962963","  25.7000","","","","","","","",
"2021/04/12 19:47'16","44298.8244907407","  25.6000","","","","","","","",
"2021/04/12 19:48'16","44298.8251851852","  25.8000","","","","","","","",
"2021/04/12 19:49'16","44298.8258796296","  25.6000","","","","","","","",
"2021/04/12 19:50'16","44298.8265740741","  25.3000","","","","","","","",
"2021/04/12 19:51'16","44298.8272685185","  25.2000","","","","","","","",
"2021/04/12 19:52'16","44298.8279629630","  25.1000","","","","","","","",
"2021/04/12 19:53'16","44298.8286574074","  25.1000","","","","","","","",
"2021/04/12 19:54'16","44298.8293518519","  25.0000","","","","","","","",
"2021/04/12 19:55'16","44298.8300462963","  24.9000","","","","","","","",
"2021/04/12 19:56'16","44298.8307407407","  24.8000","","","","","","","",
"2021/04/12 19:57'16","44298.8314351852","  25.3000","","","","","","","",
"2021/04/12 19:58'16","44298.8321296296","  25.1000","","","","","","","",
"2021/04/12 19:59'16","44298.8328240741","  25.6000","","","","","","","",
"2021/04/12 20:00'16","44298.8335185185","  25.3000","","","","","","","",
"2021/04/12 20:01'16","44298.8342129630","  25.7000","","","","","","","",
"2021/04/12 20:02'16","44298.8349074074","  25.4000","","","","","","","",
"2021/04/12 20:03'16","44298.8356018519","  25.7000","","","","","","","",
"2021/04/12 20:04'16","44298.8362962963","  25.4000","","","","","","","",
"2021/04/12 20:05'16","44298.8369907407","  25.7000","","","","","","","",
"2021/04/12 20:06'16","44298.8376851852","  25.4000","","","","","","","",
"2021/04/12 20:07'16","44298.8383796296","  25.8000","","","","","","","",
"2021/04/12 20:08'16","44298.8390740741","  25.5000","","","","","","","",
"2021/04/12 20:09'16","44298.8397685185","  25.3000","","","","","","","",
"2021/04/12 20:10'16","44298.8404629630","  25.2000","","","","","","","",
"2021/04/12 20:11'16","44298.8411574074","  25.2000","","","","","","","",
"2021/04/12 20:12'16","44298.8418518519","  25.1000","","","","","","","",
"2021/04/12 20:13'16","44298.8425462963","  25.0000","","","","","","","",
"2021/04/12 20:14'16","44298.8432407407","  24.9000","","","","","","","",
"2021/04/12 20:15'16","44298.8439351852","  24.8000","","","","","","","",
"2021/04/12 20:16'16","44298.8446296296","  25.2000","","","","","","","",
"2021/04/12 20:17'16","44298.8453240741","  25.2000","","","","","","","",
"2021/04/12 20:18'16","44298.8460185185","  25.5000","","","","","","","",
"2021/04/12 20:19'16","44298.8467129630","  25.4000","","","","","","","",
"2021/04/12 20:20'16","44298.8474074074","  25.5000","","","","","","","",
"2021/04/12 20:21'16","44298.8481018519","  25.4000","","","","","","","",
"2021/04/12 20:22'16","44298.8487962963","  25.6000","","","","","","","",
"2021/04/12 20:23'16","44298.8494907407","  25.4000","","","","","","","",
"2021/04/12 20:24'16","44298.8501851852","  25.7000","","","","","","","",
"2021/04/12 20:25'16","44298.8508796296","  25.5000","","","","","","","",
"2021/04/12 20:26'16","44298.8515740741","  25.2000","","","","","","","",
"2021/04/12 20:27'16","44298.8522685185","  25.1000","","","","","","","",
"2021/04/12 20:28'16","44298.8529629630","  25.1000","","","","","","","",
"2021/04/12 20:29'16","44298.8536574074","  25.1000","","","","","","","",
"2021/04/12 20:30'16","44298.8543518519","  25.0000","","","","","","","",
"2021/04/12 20:31'16","44298.8550462963","  24.9000","","","","","","","",
"2021/04/12 20:32'16","44298.8557407407","  24.8000","","","","","","","",
"2021/04/12 20:33'16","44298.8564351852","  24.7000","","","","","","","",
"2021/04/12 20:34'16","44298.8571296296","  25.3000","","","","","","","",
"2021/04/12 20:35'16","44298.8578240741","  25.2000","","","","","","","",
"2021/04/12 20:36'16","44298.8585185185","  25.6000","","","","","","","",
"2021/04/12 20:37'16","44298.8592129630","  25.4000","","","","","","","",
"2021/04/12 20:38'16","44298.8599074074","  25.7000","","","","","","","",
"2021/04/12 20:39'16","44298.8606018519","  25.5000","","","","","","","",
"2021/04/12 20:40'16","44298.8612962963","  25.8000","","","","","","","",
"2021/04/12 20:41'16","44298.8619907407","  25.5000","","","","","","","",
"2021/04/12 20:42'16","44298.8626851852","  25.8000","","","","","","","",
"2021/04/12 20:43'16","44298.8633796296","  25.5000","","","","","","","",
"2021/04/12 20:44'16","44298.8640740741","  25.8000","","","","","","","",
"2021/04/12 20:45'16","44298.8647685185","  25.4000","","","","","","","",
"2021/04/12 20:46'16","44298.8654629630","  25.3000","","","","","","","",
"2021/04/12 20:47'16","44298.8661574074","  25.2000","","","","","","","",
"2021/04/12 20:48'16","44298.8668518519","  25.1000","","","","","","","",
"2021/04/12 20:49'16","44298.8675462963","  25.1000","","","","","","","",
"2021/04/12 20:50'16","44298.8682407407","  25.0000","","","","","","","",
"2021/04/12 20:51'16","44298.8689351852","  24.9000","","","","","","","",
"2021/04/12 20:52'16","44298.8696296296","  24.8000","","","","","","","",
"2021/04/12 20:53'16","44298.8703240741","  25.4000","","","","","","","",
"2021/04/12 20:54'16","44298.8710185185","  25.2000","","","","","","","",
"2021/04/12 20:55'16","44298.8717129630","  25.6000","","","","","","","",
"2021/04/12 20:56'16","44298.8724074074","  25.2000","","","","","","","",
"2021/04/12 20:57'16","44298.8731018519","  25.0000","","","","","","","",
"2021/04/12 20:58'16","44298.8737962963","  24.9000","","","","","","","",
"2021/04/12 20:59'16","44298.8744907407","  24.9000","","","","","","","",
"2021/04/12 21:00'16","44298.8751851852","  24.8000","","","","","","","",
"2021/04/12 21:01'16","44298.8758796296","  24.7000","","","","","","","",
"2021/04/12 21:02'16","44298.8765740741","  24.7000","","","","","","","",
"2021/04/12 21:03'16","44298.8772685185","  24.6000","","","","","","","",
"2021/04/12 21:04'16","44298.8779629630","  24.6000","","","","","","","",
"2021/04/12 21:05'16","44298.8786574074","  24.6000","","","","","","","",
"2021/04/12 21:06'16","44298.8793518519","  25.2000","","","","","","","",
"2021/04/12 21:07'16","44298.8800462963","  25.0000","","","","","","","",
"2021/04/12 21:08'16","44298.8807407407","  25.5000","","","","","","","",
"2021/04/12 21:09'16","44298.8814351852","  25.1000","","","","","","","",
"2021/04/12 21:10'16","44298.8821296296","  25.6000","","","","","","","",
"2021/04/12 21:11'16","44298.8828240741","  25.3000","","","","","","","",
"2021/04/12 21:12'16","44298.8835185185","  25.7000","","","","","","","",
"2021/04/12 21:13'16","44298.8842129630","  25.3000","","","","","","","",
"2021/04/12 21:14'16","44298.8849074074","  25.1000","","","","","","","",
"2021/04/12 21:15'16","44298.8856018519","  25.1000","","","","","","","",
"2021/04/12 21:16'16","44298.8862962963","  25.0000","","","","","","","",
"2021/04/12 21:17'16","44298.8869907407","  24.9000","","","","","","","",
"2021/04/12 21:18'16","44298.8876851852","  24.9000","","","","","","","",
"2021/04/12 21:19'16","44298.8883796296","  24.8000","","","","","","","",
"2021/04/12 21:20'16","44298.8890740741","  24.7000","","","","","","","",
"2021/04/12 21:21'16","44298.8897685185","  24.7000","","","","","","","",
"2021/04/12 21:22'16","44298.8904629630","  25.3000","","","","","","","",
"2021/04/12 21:23'16","44298.8911574074","  25.1000","","","","","","","",
"2021/04/12 21:24'16","44298.8918518519","  25.6000","","","","","","","",
"2021/04/12 21:25'16","44298.8925462963","  25.3000","","","","","","","",
"2021/04/12 21:26'16","44298.8932407407","  25.7000","","","","","","","",
"2021/04/12 21:27'16","44298.8939351852","  25.4000","","","","","","","",
"2021/04/12 21:28'16","44298.8946296296","  25.8000","","","","","","","",
"2021/04/12 21:29'16","44298.8953240741","  25.4000","","","","","","","",
"2021/04/12 21:30'16","44298.8960185185","  25.2000","","","","","","","",
"2021/04/12 21:31'16","44298.8967129630","  25.2000","","","","","","","",
"2021/04/12 21:32'16","44298.8974074074","  25.2000","","","","","","","",
"2021/04/12 21:33'16","44298.8981018519","  25.1000","","","","","","","",
"2021/04/12 21:34'16","44298.8987962963","  25.0000","","","","","","","",
"2021/04/12 21:35'16","44298.8994907407","  24.9000","","","","","","","",
"2021/04/12 21:36'16","44298.9001851852","  24.8000","","","","","","","",
"2021/04/12 21:37'16","44298.9008796296","  24.8000","","","","","","","",
"2021/04/12 21:38'16","44298.9015740741","  25.4000","","","","","","","",
"2021/04/12 21:39'16","44298.9022685185","  25.1000","","","","","","","",
"2021/04/12 21:40'16","44298.9029629630","  25.6000","","","","","","","",
"2021/04/12 21:41'16","44298.9036574074","  25.3000","","","","","","","",
"2021/04/12 21:42'16","44298.9043518519","  25.7000","","","","","","","",
"2021/04/12 21:43'16","44298.9050462963","  25.4000","","","","","","","",
"2021/04/12 21:44'16","44298.9057407407","  25.8000","","","","","","","",
"2021/04/12 21:45'16","44298.9064351852","  25.4000","","","","","","","",
"2021/04/12 21:46'16","44298.9071296296","  25.8000","","","","","","","",
"2021/04/12 21:47'16","44298.9078240741","  25.5000","","","","","","","",
"2021/04/12 21:48'16","44298.9085185185","  25.3000","","","","","","","",
