"< Measurement Data Text Output >"
""
"Date/Time","@date()","ch.1","ch.2","ch.3","ch.4","ch.5","ch.6","ch.7","ch.8"
"","","ßC","","","","","","",""
"2021/02/25 20:38'00","44252.8597222222","  20.2000","","","","","","","",
"2021/02/25 20:39'00","44252.8604166667","  20.6000","","","","","","","",
"2021/02/25 20:40'00","44252.8611111111","  21.0000","","","","","","","",
"2021/02/25 20:41'00","44252.8618055556","  21.5000","","","","","","","",
"2021/02/25 20:42'00","44252.8625000000","  21.8000","","","","","","","",
"2021/02/25 20:43'00","44252.8631944444","  21.9000","","","","","","","",
"2021/02/25 20:44'00","44252.8638888889","  21.9000","","","","","","","",
"2021/02/25 20:45'00","44252.8645833333","  22.0000","","","","","","","",
"2021/02/25 20:46'00","44252.8652777778","  22.0000","","","","","","","",
"2021/02/25 20:47'00","44252.8659722222","  22.0000","","","","","","","",
"2021/02/25 20:48'00","44252.8666666667","  22.2000","","","","","","","",
"2021/02/25 20:49'00","44252.8673611111","  22.5000","","","","","","","",
"2021/02/25 20:50'00","44252.8680555556","  22.9000","","","","","","","",
"2021/02/25 20:51'00","44252.8687500000","  23.2000","","","","","","","",
"2021/02/25 20:52'00","44252.8694444444","  23.5000","","","","","","","",
"2021/02/25 20:53'00","44252.8701388889","  23.5000","","","","","","","",
"2021/02/25 20:54'00","44252.8708333333","  23.3000","","","","","","","",
"2021/02/25 20:55'00","44252.8715277778","  23.2000","","","","","","","",
"2021/02/25 20:56'00","44252.8722222222","  23.2000","","","","","","","",
"2021/02/25 20:57'00","44252.8729166667","  23.1000","","","","","","","",
"2021/02/25 20:58'00","44252.8736111111","  23.0000","","","","","","","",
"2021/02/25 20:59'00","44252.8743055556","  22.8000","","","","","","","",
"2021/02/25 21:00'00","44252.8750000000","  22.7000","","","","","","","",
"2021/02/25 21:01'00","44252.8756944444","  22.5000","","","","","","","",
"2021/02/25 21:02'00","44252.8763888889","  22.3000","","","","","","","",
"2021/02/25 21:03'00","44252.8770833333","  21.7000","","","","","","","",
"2021/02/25 21:04'00","44252.8777777778","  21.1000","","","","","","","",
"2021/02/25 21:05'00","44252.8784722222","  20.2000","","","","","","","",
"2021/02/25 21:06'00","44252.8791666667","  19.3000","","","","","","","",
"2021/02/25 21:07'00","44252.8798611111","  18.5000","","","","","","","",
"2021/02/25 21:08'00","44252.8805555556","  17.9000","","","","","","","",
"2021/02/25 21:09'00","44252.8812500000","  17.4000","","","","","","","",
"2021/02/25 21:10'00","44252.8819444444","  16.9000","","","","","","","",
"2021/02/25 21:11'00","44252.8826388889","  16.6000","","","","","","","",
"2021/02/25 21:12'00","44252.8833333333","  16.3000","","","","","","","",
"2021/02/25 21:13'00","44252.8840277778","  16.1000","","","","","","","",
"2021/02/25 21:14'00","44252.8847222222","  16.1000","","","","","","","",
"2021/02/25 21:15'00","44252.8854166667","  16.0000","","","","","","","",
"2021/02/25 21:16'00","44252.8861111111","  15.9000","","","","","","","",
"2021/02/25 21:17'00","44252.8868055556","  15.7000","","","","","","","",
"2021/02/25 21:18'00","44252.8875000000","  15.6000","","","","","","","",
"2021/02/25 21:19'00","44252.8881944444","  15.3000","","","","","","","",
"2021/02/25 21:20'00","44252.8888888889","  15.1000","","","","","","","",
"2021/02/25 21:21'00","44252.8895833333","  14.8000","","","","","","","",
"2021/02/25 21:22'00","44252.8902777778","  14.7000","","","","","","","",
"2021/02/25 21:23'00","44252.8909722222","  14.9000","","","","","","","",
"2021/02/25 21:24'00","44252.8916666667","  15.3000","","","","","","","",
"2021/02/25 21:25'00","44252.8923611111","  16.1000","","","","","","","",
"2021/02/25 21:26'00","44252.8930555556","  16.9000","","","","","","","",
"2021/02/25 21:27'00","44252.8937500000","  17.6000","","","","","","","",
"2021/02/25 21:28'00","44252.8944444444","  17.7000","","","","","","","",
"2021/02/25 21:29'00","44252.8951388889","  17.7000","","","","","","","",
"2021/02/25 21:30'00","44252.8958333333","  17.4000","","","","","","","",
"2021/02/25 21:31'00","44252.8965277778","  16.9000","","","","","","","",
"2021/02/25 21:32'00","44252.8972222222","  16.6000","","","","","","","",
"2021/02/25 21:33'00","44252.8979166667","  16.3000","","","","","","","",
"2021/02/25 21:34'00","44252.8986111111","  16.0000","","","","","","","",
"2021/02/25 21:35'00","44252.8993055556","  15.7000","","","","","","","",
"2021/02/25 21:36'00","44252.9000000000","  15.6000","","","","","","","",
"2021/02/25 21:37'00","44252.9006944444","  15.7000","","","","","","","",
"2021/02/25 21:38'00","44252.9013888889","  16.2000","","","","","","","",
"2021/02/25 21:39'00","44252.9020833333","  16.7000","","","","","","","",
"2021/02/25 21:40'00","44252.9027777778","  17.3000","","","","","","","",
