"< Measurement Data Text Output >"
""
"Date/Time","@date()","ch.1","ch.2","ch.3","ch.4","ch.5","ch.6","ch.7","ch.8"
"","","ßC","","","","","","",""
"2021/03/12 21:35'42","44267.8997916667","  20.7000","","","","","","","",
"2021/03/12 21:36'42","44267.9004861111","  21.2000","","","","","","","",
"2021/03/12 21:37'42","44267.9011805556","  21.8000","","","","","","","",
"2021/03/12 21:38'42","44267.9018750000","  22.3000","","","","","","","",
"2021/03/12 21:39'42","44267.9025694444","  23.2000","","","","","","","",
"2021/03/12 21:40'42","44267.9032638889","  23.5000","","","","","","","",
"2021/03/12 21:41'42","44267.9039583333","  23.0000","","","","","","","",
"2021/03/12 21:42'42","44267.9046527778","  22.7000","","","","","","","",
"2021/03/12 21:43'42","44267.9053472222","  21.9000","","","","","","","",
"2021/03/12 21:44'42","44267.9060416667","  21.5000","","","","","","","",
"2021/03/12 21:45'42","44267.9067361111","  21.2000","","","","","","","",
"2021/03/12 21:46'42","44267.9074305556","  21.8000","","","","","","","",
"2021/03/12 21:47'42","44267.9081250000","  22.2000","","","","","","","",
"2021/03/12 21:48'42","44267.9088194444","  23.0000","","","","","","","",
"2021/03/12 21:49'42","44267.9095138889","  23.8000","","","","","","","",
"2021/03/12 21:50'42","44267.9102083333","  24.3000","","","","","","","",
"2021/03/12 21:51'42","44267.9109027778","  23.5000","","","","","","","",
"2021/03/12 21:52'42","44267.9115972222","  22.2000","","","","","","","",
"2021/03/12 21:53'42","44267.9122916667","  20.9000","","","","","","","",
"2021/03/12 21:54'42","44267.9129861111","  19.6000","","","","","","","",
"2021/03/12 21:55'42","44267.9136805556","  18.5000","","","","","","","",
"2021/03/12 21:56'42","44267.9143750000","  17.5000","","","","","","","",
"2021/03/12 21:57'42","44267.9150694444","  17.3000","","","","","","","",
"2021/03/12 21:58'42","44267.9157638889","  17.6000","","","","","","","",
"2021/03/12 21:59'42","44267.9164583333","  18.3000","","","","","","","",
"2021/03/12 22:00'42","44267.9171527778","  19.3000","","","","","","","",
"2021/03/12 22:01'42","44267.9178472222","  19.2000","","","","","","","",
"2021/03/12 22:02'42","44267.9185416667","  19.1000","","","","","","","",
"2021/03/12 22:03'42","44267.9192361111","  18.7000","","","","","","","",
"2021/03/12 22:04'42","44267.9199305556","  18.5000","","","","","","","",
"2021/03/12 22:05'42","44267.9206250000","  18.6000","","","","","","","",
"2021/03/12 22:06'42","44267.9213194444","  18.5000","","","","","","","",
"2021/03/12 22:07'42","44267.9220138889","  18.7000","","","","","","","",
"2021/03/12 22:08'42","44267.9227083333","  19.0000","","","","","","","",
"2021/03/12 22:09'42","44267.9234027778","  19.4000","","","","","","","",
"2021/03/12 22:10'42","44267.9240972222","  19.5000","","","","","","","",
"2021/03/12 22:11'42","44267.9247916667","  18.9000","","","","","","","",
"2021/03/12 22:12'42","44267.9254861111","  18.2000","","","","","","","",
"2021/03/12 22:13'42","44267.9261805556","  17.6000","","","","","","","",
"2021/03/12 22:14'42","44267.9268750000","  16.8000","","","","","","","",
"2021/03/12 22:15'42","44267.9275694444","  16.8000","","","","","","","",
"2021/03/12 22:16'42","44267.9282638889","  17.6000","","","","","","","",
"2021/03/12 22:17'42","44267.9289583333","  19.1000","","","","","","","",
"2021/03/12 22:18'42","44267.9296527778","  20.5000","","","","","","","",
