,reservoir_var,reservoir_db_name,target_var,target_db_name,train_pred,test_pred,RMSE_train,RMSE_test,NMSE_train,NMSE_test,num_nodes,Win_strength,Win_sparsity,n_neighbors,leak_rate,subset_size,test_fraction,washout_data,training_time,learnmodel_time,testing_time
0,Prok_Taxa00634,ecol_ts,input,narma02,0.8276,0.8861,0.0956,0.0792,0.0275307,0.0184448,4,1.5,0.3,5,0.5,499,0.5,0,0.08,0.0,0.08
0,Prok_Taxa00635,ecol_ts,input,narma02,0.9433,0.9533,0.0545,0.0464,0.0089591,0.006318,15,1.0,0.6,16,0.4,499,0.5,0,0.14,0.0,0.12
0,Prok_Taxa00636,ecol_ts,input,narma02,0.3953,0.5643,0.1759,0.1448,0.0931674,0.0616592,2,2.0,0.0,3,0.9,499,0.5,0,0.08,0.0,0.08
0,Prok_Taxa00639,ecol_ts,input,narma02,0.8901,0.9016,0.0865,0.0759,0.0225374,0.0169145,8,1.5,0.0,9,0.6,499,0.5,0,0.1,0.0,0.11
0,Prok_Taxa00643,ecol_ts,input,narma02,0.7977,0.8268,0.1058,0.0883,0.0337338,0.0229017,4,2.0,0.3,5,0.6,499,0.5,0,0.09,0.0,0.09
0,Prok_Taxa00644,ecol_ts,input,narma02,0.9377,0.9545,0.0572,0.0458,0.0098576,0.0061664,15,1.5,0.1,16,0.4,499,0.5,0,0.12,0.0,0.1
0,Prok_Taxa00645,ecol_ts,input,narma02,0.9461,0.9598,0.0532,0.0436,0.0085151,0.0055958,8,2.0,0.0,9,0.5,499,0.5,0,0.09,0.0,0.08
0,Prok_Taxa00649,ecol_ts,input,narma02,0.9642,0.972,0.0437,0.0362,0.0057554,0.0038525,11,1.5,0.3,12,0.4,499,0.5,0,0.1,0.0,0.1
0,Prok_Taxa00650,ecol_ts,input,narma02,0.8494,0.931,0.0867,0.058,0.0226336,0.009875,6,1.5,0.2,7,0.5,499,0.5,0,0.08,0.0,0.08
0,Prok_Taxa00654,ecol_ts,input,narma02,0.7029,0.8365,0.1242,0.0844,0.0464751,0.0209232,4,1.5,0.8,5,0.7,499,0.5,0,0.08,0.0,0.08
0,Prok_Taxa00658,ecol_ts,input,narma02,0.9513,0.9562,0.0545,0.0477,0.0089483,0.0066859,11,0.75,0.3,12,0.5,499,0.5,0,0.09,0.0,0.1
0,Prok_Taxa00667,ecol_ts,input,narma02,0.943,0.9538,0.0548,0.0463,0.0090583,0.006308,24,1.0,0.0,25,0.5,499,0.5,0,0.1,0.0,0.11
0,Prok_Taxa00669,ecol_ts,input,narma02,0.9376,0.9521,0.0707,0.0525,0.0150544,0.0081002,11,0.5,0.1,12,0.5,499,0.5,0,0.09,0.0,0.11
0,Prok_Taxa00672,ecol_ts,input,narma02,0.9533,0.9642,0.0508,0.0411,0.007767,0.004954,11,1.0,0.1,12,0.5,499,0.5,0,0.09,0.0,0.1
0,Prok_Taxa00673,ecol_ts,input,narma02,0.9346,0.9421,0.0586,0.0521,0.0103395,0.0079808,20,1.5,0.0,21,0.4,499,0.5,0,0.11,0.0,0.12
