2021-04-15_17-23-13.jpg; date_time: 2021-04-15 17:23:13; grid_n: 1; count: 10; total_area: 2223; mean_area: 222.3; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-24-13.jpg; date_time: 2021-04-15 17:24:13; grid_n: 1; count: 9; total_area: 1968; mean_area: 218.67; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-25-13.jpg; date_time: 2021-04-15 17:25:13; grid_n: 1; count: 11; total_area: 2389; mean_area: 217.18; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-26-13.jpg; date_time: 2021-04-15 17:26:13; grid_n: 1; count: 11; total_area: 2334; mean_area: 212.18; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-27-13.jpg; date_time: 2021-04-15 17:27:13; grid_n: 1; count: 10; total_area: 2187; mean_area: 218.7; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-28-13.jpg; date_time: 2021-04-15 17:28:13; grid_n: 1; count: 6; total_area: 1315; mean_area: 219.17; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-29-13.jpg; date_time: 2021-04-15 17:29:13; grid_n: 1; count: 9; total_area: 2070; mean_area: 230; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-30-13.jpg; date_time: 2021-04-15 17:30:13; grid_n: 1; count: 11; total_area: 2553; mean_area: 232.09; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-31-13.jpg; date_time: 2021-04-15 17:31:13; grid_n: 1; count: 13; total_area: 3007; mean_area: 231.31; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-32-13.jpg; date_time: 2021-04-15 17:32:13; grid_n: 1; count: 9; total_area: 2258; mean_area: 250.89; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-33-13.jpg; date_time: 2021-04-15 17:33:13; grid_n: 1; count: 10; total_area: 2447; mean_area: 244.7; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-34-13.jpg; date_time: 2021-04-15 17:34:13; grid_n: 1; count: 6; total_area: 1489; mean_area: 248.17; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-35-13.jpg; date_time: 2021-04-15 17:35:13; grid_n: 1; count: 4; total_area: 908; mean_area: 227; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-36-13.jpg; date_time: 2021-04-15 17:36:13; grid_n: 1; count: 5; total_area: 1138; mean_area: 227.6; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-37-13.jpg; date_time: 2021-04-15 17:37:13; grid_n: 1; count: 4; total_area: 793; mean_area: 198.25; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-38-13.jpg; date_time: 2021-04-15 17:38:13; grid_n: 1; count: 4; total_area: 797; mean_area: 199.25; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-39-13.jpg; date_time: 2021-04-15 17:39:13; grid_n: 1; count: 6; total_area: 1418; mean_area: 236.33; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-40-13.jpg; date_time: 2021-04-15 17:40:13; grid_n: 1; count: 6; total_area: 1186; mean_area: 197.67; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-41-13.jpg; date_time: 2021-04-15 17:41:13; grid_n: 1; count: 8; total_area: 1758; mean_area: 219.75; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-42-13.jpg; date_time: 2021-04-15 17:42:13; grid_n: 1; count: 6; total_area: 1294; mean_area: 215.67; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-43-13.jpg; date_time: 2021-04-15 17:43:13; grid_n: 1; count: 10; total_area: 2240; mean_area: 224; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-44-13.jpg; date_time: 2021-04-15 17:44:13; grid_n: 1; count: 8; total_area: 1509; mean_area: 188.62; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-45-13.jpg; date_time: 2021-04-15 17:45:13; grid_n: 1; count: 6; total_area: 1144; mean_area: 190.67; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-46-13.jpg; date_time: 2021-04-15 17:46:13; grid_n: 1; count: 10; total_area: 2089; mean_area: 208.9; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-47-13.jpg; date_time: 2021-04-15 17:47:13; grid_n: 1; count: 12; total_area: 2819; mean_area: 234.92; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-48-13.jpg; date_time: 2021-04-15 17:48:13; grid_n: 1; count: 6; total_area: 1352; mean_area: 225.33; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-49-13.jpg; date_time: 2021-04-15 17:49:13; grid_n: 1; count: 6; total_area: 1311; mean_area: 218.5; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-50-13.jpg; date_time: 2021-04-15 17:50:13; grid_n: 1; count: 9; total_area: 2049; mean_area: 227.67; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-51-13.jpg; date_time: 2021-04-15 17:51:13; grid_n: 1; count: 7; total_area: 1516; mean_area: 216.57; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-52-13.jpg; date_time: 2021-04-15 17:52:13; grid_n: 1; count: 7; total_area: 1502; mean_area: 214.57; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-53-13.jpg; date_time: 2021-04-15 17:53:13; grid_n: 1; count: 6; total_area: 1295; mean_area: 215.83; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-54-13.jpg; date_time: 2021-04-15 17:54:13; grid_n: 1; count: 10; total_area: 2141; mean_area: 214.1; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-55-13.jpg; date_time: 2021-04-15 17:55:13; grid_n: 1; count: 11; total_area: 2447; mean_area: 222.45; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-56-13.jpg; date_time: 2021-04-15 17:56:13; grid_n: 1; count: 11; total_area: 2367; mean_area: 215.18; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-57-13.jpg; date_time: 2021-04-15 17:57:13; grid_n: 1; count: 10; total_area: 1989; mean_area: 198.9; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-58-13.jpg; date_time: 2021-04-15 17:58:13; grid_n: 1; count: 10; total_area: 2120; mean_area: 212; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-59-13.jpg; date_time: 2021-04-15 17:59:13; grid_n: 1; count: 8; total_area: 1640; mean_area: 205; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_18-00-13.jpg; date_time: 2021-04-15 18:00:13; grid_n: 1; count: 9; total_area: 1907; mean_area: 211.89; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_18-01-13.jpg; date_time: 2021-04-15 18:01:13; grid_n: 1; count: 9; total_area: 1996; mean_area: 221.78; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_18-02-13.jpg; date_time: 2021-04-15 18:02:13; grid_n: 1; count: 11; total_area: 2471; mean_area: 224.64; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_18-03-13.jpg; date_time: 2021-04-15 18:03:13; grid_n: 1; count: 12; total_area: 3031; mean_area: 252.58; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_18-04-13.jpg; date_time: 2021-04-15 18:04:13; grid_n: 1; count: 7; total_area: 1608; mean_area: 229.71; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_18-05-13.jpg; date_time: 2021-04-15 18:05:13; grid_n: 1; count: 10; total_area: 2187; mean_area: 218.7; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_18-06-13.jpg; date_time: 2021-04-15 18:06:13; grid_n: 1; count: 4; total_area: 912; mean_area: 228; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_18-07-13.jpg; date_time: 2021-04-15 18:07:13; grid_n: 1; count: 8; total_area: 1920; mean_area: 240; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_18-08-13.jpg; date_time: 2021-04-15 18:08:13; grid_n: 1; count: 8; total_area: 1965; mean_area: 245.62; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_18-09-13.jpg; date_time: 2021-04-15 18:09:13; grid_n: 1; count: 5; total_area: 1113; mean_area: 222.6; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_18-10-13.jpg; date_time: 2021-04-15 18:10:13; grid_n: 1; count: 6; total_area: 1324; mean_area: 220.67; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_18-11-13.jpg; date_time: 2021-04-15 18:11:13; grid_n: 1; count: 9; total_area: 1766; mean_area: 196.22; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_18-12-13.jpg; date_time: 2021-04-15 18:12:13; grid_n: 1; count: 10; total_area: 2191; mean_area: 219.1; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_18-13-13.jpg; date_time: 2021-04-15 18:13:13; grid_n: 1; count: 10; total_area: 2101; mean_area: 210.1; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_18-14-13.jpg; date_time: 2021-04-15 18:14:13; grid_n: 1; count: 14; total_area: 3058; mean_area: 218.43; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_18-15-13.jpg; date_time: 2021-04-15 18:15:13; grid_n: 1; count: 15; total_area: 3169; mean_area: 211.27; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_18-16-13.jpg; date_time: 2021-04-15 18:16:13; grid_n: 1; count: 13; total_area: 2596; mean_area: 199.69; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_18-17-13.jpg; date_time: 2021-04-15 18:17:13; grid_n: 1; count: 12; total_area: 2491; mean_area: 207.58; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_18-18-13.jpg; date_time: 2021-04-15 18:18:13; grid_n: 1; count: 12; total_area: 2341; mean_area: 195.08; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_18-19-13.jpg; date_time: 2021-04-15 18:19:13; grid_n: 1; count: 12; total_area: 2497; mean_area: 208.08; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_18-20-13.jpg; date_time: 2021-04-15 18:20:13; grid_n: 1; count: 11; total_area: 2092; mean_area: 190.18; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_18-21-13.jpg; date_time: 2021-04-15 18:21:13; grid_n: 1; count: 13; total_area: 2443; mean_area: 187.92; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_18-22-13.jpg; date_time: 2021-04-15 18:22:13; grid_n: 1; count: 12; total_area: 2062; mean_area: 171.83; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_18-23-13.jpg; date_time: 2021-04-15 18:23:13; grid_n: 1; count: 17; total_area: 3634; mean_area: 213.76; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_18-24-13.jpg; date_time: 2021-04-15 18:24:13; grid_n: 1; count: 12; total_area: 2316; mean_area: 193; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_18-25-13.jpg; date_time: 2021-04-15 18:25:13; grid_n: 1; count: 15; total_area: 3088; mean_area: 205.87; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
