reservoir_name,reservoir_E,train_ridge_score,train_cor,train_r2,train_rmse,train_nmse,test_ridge_score,test_cor,test_r2,test_rmse,test_nmse,washout_data,learnmodel_time,testing_time,E,pred_tp,temporal_cor,temporal_r2,ridge_train_cor,ridge_train_r2,ridge_train_score,ridge_train_rmse,ridge_train_nmse,ridge_test_cor,ridge_test_r2,ridge_test_rmse,ridge_test_nmse
Tetrahymena Reservoir,30,0.3808,0.6395,0.409,0.770773,0.574923,-0.0978,0.2332,0.0544,1.039254,1.034625,0,0.0,0.0,30,24,-0.14454970703750913,0.020894617804629718,0.051731684161124426,0.0026761671461463317,0.051731684161124426,0.9782014453568166,0.9260054953260669,0.14454970703750916,0.020894617804629725,0.9861294763982946,0.9315535334004214
Tetrahymena Reservoir,30,0.3508,0.6066,0.368,0.792124,0.601106,-0.1334,0.2631,0.0692,1.05601,1.068259,0,0.0,0.0,30,25,-0.0858600104484006,0.0073719413941994594,0.07771278914607181,0.006039277596861817,0.07771278914607181,0.9801218292027387,0.9202902527049657,0.08586001044840057,0.007371941394199454,0.9884569632660664,0.9359560735569082
Tetrahymena Reservoir,30,0.2634,0.5261,0.2767,0.849408,0.685803,-0.0846,0.2931,0.0859,1.031541,1.016061,0,0.06,0.0,30,26,-0.0717974573341193,0.005154874879644681,0.09829112607384206,0.009661145464863916,0.09829112607384206,0.9849120057908684,0.9220661861366188,0.07179745733411928,0.0051548748796446785,0.9882267587367545,0.9325247693975371
Tetrahymena Reservoir,30,0.232,0.4967,0.2468,0.868632,0.716314,-0.0504,0.2735,0.0748,1.018687,0.981148,0,0.0,0.0,30,27,-0.06304155753882765,0.003974237976921317,0.1635166182779279,0.026737684453049585,0.1635166182779279,0.9778669848447016,0.9078025512957192,0.06304155753882763,0.003974237976921315,0.9970344110599649,0.9398819500197837
Tetrahymena Reservoir,30,0.2614,0.5276,0.2783,0.855569,0.687482,0.0155,0.2668,0.0712,0.986206,0.919577,0,0.0,0.0,30,28,-0.024888519217658722,0.0006194383888477675,0.24552422708792868,0.06028214608712477,0.24552422708792868,0.9650807878582012,0.8747401048167907,0.02488851921765873,0.0006194383888477678,1.0172545868514324,0.9783907266342198
Tetrahymena Reservoir,30,0.3234,0.5816,0.3382,0.820333,0.626946,0.1168,0.3419,0.1169,0.934098,0.82497,0,0.0,0.0,30,29,0.013246265300244217,0.00017546354440445402,0.2584091896354512,0.06677530928805056,0.2584091896354512,0.9634112839600668,0.8647160921254519,-0.013246265300244009,0.0001754635444044485,1.0289068894979456,1.0009333613676932
Tetrahymena Reservoir,30,0.3938,0.6354,0.4037,0.765893,0.556597,0.0833,0.2975,0.0885,0.955865,0.854501,0,0.0,0.0,30,30,0.004236106102281283,1.7944594909784724e-05,0.15962967833861308,0.02548163420648908,0.15962967833861308,0.9711137950736598,0.8948383074336674,-0.004236106102281315,1.7944594909784998e-05,1.0108632074642068,0.9556614175675125
Tetrahymena Reservoir,30,0.4583,0.6834,0.467,0.705882,0.490162,0.0562,0.2815,0.0793,0.973642,0.877326,0,0.0,0.0,30,31,-0.033217798304139914,0.0011034221241745207,0.013484103349311227,0.00018182104313490624,0.013484103349311227,0.9589683375409598,0.9046559811470766,0.033217798304140136,0.0011034221241745354,1.0024255052022735,0.9299646201576337
Tetrahymena Reservoir,30,0.4556,0.681,0.4637,0.704697,0.487768,0.1082,0.3319,0.1102,0.94643,0.828971,0,0.0,0.0,30,32,-0.05832034794363936,0.00340126298426716,0.0775373657782573,0.0060120430918312665,0.0775373657782573,0.952220035110566,0.8906011266458751,-0.05832034794363934,0.0034012629842671577,1.0107550483952792,0.9454837055032241
Tetrahymena Reservoir,30,0.4403,0.6682,0.4465,0.71789,0.500432,0.1046,0.3318,0.1101,0.948353,0.832343,0,0.0,0.0,30,33,-0.08498138726550378,0.007221836181569527,0.09684859183120777,0.009379649739687884,0.09684859183120777,0.9550578829704782,0.8857028332415156,-0.08498138726550378,0.007221836181569527,1.0156622910113877,0.9546866887913843
