reservoir_name,reservoir_E,train_ridge_score,train_cor,train_r2,train_rmse,train_nmse,test_ridge_score,test_cor,test_r2,test_rmse,test_nmse,washout_data,learnmodel_time,testing_time,E,pred_tp,temporal_cor,temporal_r2,ridge_train_cor,ridge_train_r2,ridge_train_score,ridge_train_rmse,ridge_train_nmse,ridge_test_cor,ridge_test_r2,ridge_test_rmse,ridge_test_nmse
Tetrahymena Reservoir,6,0.5684,0.754,0.5685,0.553059,0.381526,-0.495,0.2328,0.0542,1.282802,1.393815,0,0.0,0.0,6,10,0.8465451648828989,0.7166387161866145,0.8524802786844052,0.7267226255458412,0.8524802786844052,0.4400853873502182,0.2415765777243447,0.8465451648828992,0.716638716186615,0.5850053216622655,0.28987145943165854
Tetrahymena Reservoir,6,0.5604,0.7487,0.5605,0.557312,0.387792,-0.5117,0.2115,0.0448,1.289932,1.409351,0,0.0,0.0,6,11,0.8306336512832054,0.6899522626440697,0.8333886049675563,0.6945365668897696,0.8333886049675563,0.46456627892282554,0.2694625508065182,0.8306336512832058,0.6899522626440703,0.6144404492674982,0.3197756715032411
Tetrahymena Reservoir,6,0.5524,0.7433,0.5525,0.561921,0.393582,-0.5366,0.1902,0.0362,1.298788,1.430444,0,0.0,0.0,6,12,0.8155921427862219,0.665190543374621,0.8152454448948607,0.6646251354218194,0.8152454448948607,0.4863846581540873,0.2948792432106651,0.8155921427862219,0.665190543374621,0.64049828717456,0.3478805631652145
Tetrahymena Reservoir,6,0.5446,0.7381,0.5447,0.566354,0.399095,-0.5613,0.1694,0.0287,1.307417,1.45122,0,0.0,0.0,6,13,0.8019665057464447,0.6431502763391623,0.7974647289331714,0.6359499938924567,0.7974647289331714,0.506383946992584,0.3190515621484142,0.8019665057464448,0.6431502763391624,0.6634106597375082,0.37365406441232585
Tetrahymena Reservoir,6,0.5373,0.7331,0.5374,0.570183,0.404716,-0.5793,0.151,0.0228,1.314963,1.46802,0,0.0,0.0,6,14,0.7904594677069035,0.6248261700874811,0.779297425627588,0.607304477589786,0.779297425627588,0.5252735222682497,0.3434736763468274,0.7904594677069039,0.6248261700874819,0.6833000609119542,0.39639460815018557
Tetrahymena Reservoir,6,0.5331,0.7302,0.5332,0.572166,0.407631,-0.598,0.1304,0.017,1.322706,1.485359,0,0.0,0.0,6,15,0.779855568761707,0.6081747081286456,0.7611615794865604,0.5793669500864754,0.7611615794865604,0.5430672103201067,0.36722321221245374,0.7798555687617068,0.6081747081286453,0.7015016806199345,0.41779405053690133
Tetrahymena Reservoir,6,0.5271,0.7261,0.5272,0.575686,0.411634,-0.6211,0.1113,0.0124,1.330435,1.504545,0,0.0,0.0,6,16,0.7688021583002593,0.591056758607137,0.7436809738539522,0.5530613908723626,0.7436809738539522,0.5596491510406293,0.3890195486174855,0.7688021583002588,0.5910567586071361,0.7192046957323271,0.43966578342162826
Tetrahymena Reservoir,6,0.5209,0.7218,0.521,0.579315,0.415787,-0.6421,0.093,0.0086,1.337288,1.521681,0,0.0,0.0,6,17,0.7577481192044507,0.5741822121578825,0.7260295235199311,0.5271188690225782,0.7260295235199311,0.5755644755389814,0.41042101357040717,0.7577481192044508,0.5741822121578827,0.7365198560296955,0.4615750794968845
Tetrahymena Reservoir,6,0.5152,0.7178,0.5153,0.582519,0.420149,-0.656,0.0745,0.0055,1.342948,1.534588,0,0.0,0.0,6,18,0.7473018222860108,0.5584600135919925,0.7074910701599005,0.5005436143560013,0.7074910701599005,0.5912656009350693,0.4328604575805175,0.747301822286011,0.5584600135919928,0.7532878083800543,0.4828311836463462
Tetrahymena Reservoir,6,0.511,0.7149,0.5111,0.584901,0.423259,-0.6698,0.0547,0.003,1.348535,1.547384,0,0.0,0.0,6,19,0.7362127520806088,0.5420092163261039,0.6886622672986238,0.47425571840088115,0.6886622672986238,0.6064642450663484,0.45504187083176917,0.7362127520806093,0.5420092163261048,0.7703962010470364,0.5050120013878017
