"time_id","temperature_input","temperature","run1","run2","run3","run4","run5","run6"
17,-0.681749060584791,-1.19187132829357,-0.0871698940188482,-0.062440744193925,-0.187481111453873,-0.532557665656445,0.379180844003046,-0.355396968176458
18,-0.681749060584791,-1.15097942038599,-0.0845770264004935,-0.0613344832208435,-0.156968215679097,-0.457881383677195,0.363262259026988,0.0584957651529741
19,-0.681749060584791,-1.11008751247842,-0.0479692231286545,0.0180873821306593,-0.0943359587347536,-0.478841720057377,0.166272715330929,-0.106313240736146
20,-0.681749060584791,-1.06919560457085,-0.147546087033145,-0.13752533427964,-0.111347132872007,-0.425331448010996,0.169782002342155,0.0267548317908706
21,-0.502035274681886,-1.02830369666327,-0.00832392595052256,-0.0580091914118196,-0.124455300109203,-0.33981413495393,0.0114744245820706,-0.0720004229049658
22,-0.502035274681886,-0.946519880848124,0.0631080964129501,-0.13549087744716,-0.0772060217272913,-0.307468455629332,-0.0869207878349162,-0.121136176637147
23,-0.502035274681886,-0.864736065032977,0.169341762898002,0.180264288125645,-0.0458129396997282,-0.296405098424249,-0.206266692774438,-0.10396117329765
24,-0.502035274681886,-0.782952249217828,0.276185937755512,-0.133454531476423,-0.0344926894716851,-0.253327301935383,0.0411113448239343,-0.153178093536009
25,-0.502035274681886,-0.742060341310255,-0.0660394920848172,0.025302808845806,0.00132641741075255,-0.231543625522859,-0.140004505356601,-0.368612554954394
26,-0.604728866626403,-0.660276525495108,0.0060464848119571,-0.0524556741862827,0.033303599728709,-0.209732711598214,-0.342766714380863,-0.351561041871435
27,-0.604728866626403,-0.619384617587533,0.113340645551401,-0.0513449892774109,0.0409093687823072,-0.198579843876537,-0.09354205451485,-0.151467187291485
28,-0.604728866626403,-0.537600801772386,0.116577272310237,-0.129381900360317,0.0403427761096862,-0.1874117794063,-0.214752366586633,0.0988497601394366
29,-0.604728866626403,-0.537600801772386,-0.0201486729439162,-0.049125331544282,0.0191417772977101,-0.1441332662087,-0.274526255594538,-0.00036002266709261
30,-0.604728866626403,-0.496708893864811,-0.262966258471629,-0.12734874574754,0.0474779784203681,-0.100800515901333,-0.251504414540431,-0.0997019697556862
31,-0.912809642459954,-0.496708893864811,-0.0144139585226224,-0.126333693450951,0.0178463737943648,-0.110968982950894,-0.311765957917539,-0.049023272082324
32,-0.912809642459954,-0.496708893864811,0.0590797385189606,-0.0458035860344302,0.0630487186292081,-0.0889937844320893,-0.351482561813902,-0.215310513364216
33,-0.912809642459954,-0.496708893864811,-0.0794358934254802,-0.124307756214167,0.0374486390848137,-0.109885820275208,-0.307509455855337,-0.131217939654454
34,-0.912809642459954,-0.537600801772386,-0.147748951837981,-0.0435970930310859,0.0452527889737857,-0.077146007222679,-0.0948711773668929,-0.0971585208699361
35,-0.912809642459954,-0.578492709679959,-0.216467784138641,-0.122288931280648,0.0446862718931814,-0.0873123403093932,-0.0920657258099873,-0.0630447050309214
36,-1.29791061225189,-0.619384617587533,-0.0712740239490117,-0.0413994068487332,0.0779330567476466,-0.0437667345123591,-0.0257067772885993,0.0715857076948645
37,-1.29791061225189,-0.660276525495108,-0.140179733856197,0.199619326242621,0.0562666633380604,-0.0109136074521712,-0.0651709709564499,-0.0616730268249786
38,-1.29791061225189,-0.70116843340268,-0.137633417520355,0.0408529180873695,0.0897880694679534,0.0219852440163623,0.00167467065168377,0.123475215250721
39,-1.29791061225189,-0.742060341310255,-0.0269600768390338,-0.0381241464607332,0.0979140298584512,0.00110756639059088,-0.0807192796252157,0.174661363186317
40,-1.29791061225189,-0.823844157125402,0.156658070467829,0.0432075398177409,0.0975229313645831,0.0771515734108272,0.0508193542865478,0.259521075524951
41,-1.29791061225189,-0.90562797294055,-0.0211667349713394,0.0443786958263281,0.140153343007913,0.0239571810692509,0.118636324184316,0.142842416596005
42,-1.29791061225189,-0.987411788755697,0.0908320667871337,0.206398446240889,0.144227480141785,0.0569831893704025,0.0142340904124118,0.513760240550467
