,network,rho_train,rho_test,RMSE_train,RMSE_test,NMSE_train,NMSE_test,num_nodes,Win_strength,Win_sparsity,alpha,W_sparsity,leak_rate,data_size,test_fraction,washout_data,training_time,learnmodel_time,testing_time
14,Random Network,0.9922,0.9919,0.0286,0.0289,0.0024606,0.0027158,80,2,0,0.99,0.5,0,900,0.2,36,0.02,0.0,0.0
15,Random Network,0.9946,0.9951,0.0238,0.023,0.0017095,0.0017097,100,2,0,0.99,0.5,0,900,0.2,36,0.02,0.0,0.01
16,Random Network,0.9962,0.9964,0.0199,0.0196,0.001197,0.00125,120,2,0,0.99,0.5,0,900,0.2,36,0.02,0.0,0.01
17,Random Network,0.9973,0.9971,0.017,0.0176,0.0008707,0.0010038,140,2,0,0.99,0.5,0,900,0.2,36,0.03,0.0,0.01
18,Random Network,0.9974,0.9976,0.0165,0.0161,0.0008229,0.0008401,160,2,0,0.99,0.5,0,900,0.2,36,0.03,0.0,0.01
19,Random Network,0.9969,0.9969,0.018,0.018,0.0009803,0.0010485,180,2,0,0.99,0.5,0,900,0.2,36,0.04,0.01,0.01
20,Random Network,0.9983,0.9982,0.0133,0.0138,0.0005311,0.0006216,200,2,0,0.99,0.5,0,900,0.2,36,0.04,0.01,0.01
21,Random Network,0.9983,0.9982,0.0133,0.0138,0.0005311,0.0006216,200,2,0,0.99,0.5,0,900,0.2,36,0.05,0.01,0.01
22,Random Network,0.9984,0.9985,0.0129,0.0126,0.0004985,0.0005111,250,2,0,0.99,0.5,0,900,0.2,36,0.07,0.01,0.02
23,Random Network,0.998,0.9982,0.0145,0.0138,0.0006386,0.000622,300,2,0,0.99,0.5,0,900,0.2,36,0.08,0.02,0.02
24,Random Network,0.9987,0.9987,0.0118,0.0118,0.0004206,0.0004484,350,2,0,0.99,0.5,0,900,0.2,36,0.12,0.02,0.03
25,Random Network,0.9987,0.9988,0.0116,0.0113,0.0004037,0.0004125,400,2,0,0.99,0.5,0,900,0.2,36,0.15,0.03,0.04
26,Random Network,0.9987,0.9989,0.0118,0.0111,0.0004199,0.0003986,450,2,0,0.99,0.5,0,900,0.2,36,0.21,0.04,0.06
27,Random Network,0.9992,0.9992,0.0091,0.009,0.0002487,0.0002654,500,2,0,0.99,0.5,0,900,0.2,36,0.25,0.05,0.05
28,Random Network,0.999,0.999,0.0101,0.01,0.0003081,0.0003239,550,2,0,0.99,0.5,0,900,0.2,36,0.33,0.06,0.08
29,Random Network,0.9993,0.9993,0.0088,0.0088,0.0002312,0.0002496,600,2,0,0.99,0.5,0,900,0.2,36,0.54,0.08,0.2
30,Random Network,0.9992,0.9992,0.0091,0.0093,0.0002476,0.0002827,650,2,0,0.99,0.5,0,900,0.2,36,0.79,0.1,0.24
31,Random Network,0.9993,0.9993,0.0087,0.0085,0.000226,0.0002368,700,2,0,0.99,0.5,0,900,0.2,36,0.99,0.12,0.27
32,Random Network,0.9993,0.9993,0.0086,0.0087,0.0002207,0.0002473,750,2,0,0.99,0.5,0,900,0.2,36,1.15,0.13,0.23
33,Random Network,0.9993,0.9993,0.0084,0.0085,0.0002135,0.0002366,800,2,0,0.99,0.5,0,900,0.2,36,0.82,0.16,0.28
34,Random Network,0.9994,0.9994,0.008,0.0078,0.0001934,0.0001975,850,2,0,0.99,0.5,0,900,0.2,36,1.09,0.18,0.28
35,Random Network,0.9995,0.9994,0.0075,0.0076,0.0001717,0.0001895,900,2,0,0.99,0.5,0,900,0.2,36,1.07,0.2,0.27
36,Random Network,0.9993,0.9993,0.0083,0.0085,0.0002058,0.0002367,950,2,0,0.99,0.5,0,900,0.2,36,1.1,0.22,0.25
37,Random Network,0.9994,0.9994,0.0079,0.0079,0.0001897,0.0002026,1000,2,0,0.99,0.5,0,900,0.2,36,1.04,0.25,0.24
