,network_name,train_pred,test_pred,trian_RMSE,test_RMSE,trian_NMSE,test_NMSE,total_nodes,learning_time,n_network,E,NMSE_test,num_nodes,Win_strength,Win_sparsity,alpha,W_sparsity,leak_rate,data_size
73,Combined_Network,0.9682,0.9645,0.0575,0.0599,0.0102995,0.0116494,370,0.04,74,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
74,Combined_Network,0.9683,0.9646,0.0574,0.0598,0.0102643,0.0116118,375,0.06,75,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
75,Combined_Network,0.9685,0.9648,0.0572,0.0597,0.0102108,0.0115618,380,0.04,76,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
76,Combined_Network,0.9689,0.9652,0.0568,0.0594,0.0100706,0.0114378,385,0.1,77,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
77,Combined_Network,0.9689,0.9652,0.0568,0.0593,0.0100557,0.0114194,390,0.07,78,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
78,Combined_Network,0.9692,0.9653,0.0566,0.0592,0.0099888,0.0113851,395,0.05,79,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
79,Combined_Network,0.9694,0.9655,0.0564,0.0591,0.0099089,0.0113203,400,0.05,80,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
80,Combined_Network,0.9702,0.9664,0.0557,0.0583,0.0096669,0.0110178,405,0.06,81,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
81,Combined_Network,0.9702,0.9665,0.0556,0.0582,0.0096542,0.0110035,410,0.07,82,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
82,Combined_Network,0.9705,0.9667,0.0554,0.058,0.0095739,0.0109342,415,0.06,83,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
83,Combined_Network,0.9705,0.9668,0.0553,0.058,0.0095482,0.0108996,420,0.06,84,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
84,Combined_Network,0.9708,0.9672,0.0551,0.0577,0.0094705,0.0107875,425,0.08,85,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
85,Combined_Network,0.971,0.9674,0.0549,0.0574,0.0093947,0.0107032,430,0.06,86,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
86,Combined_Network,0.9711,0.9675,0.0548,0.0574,0.0093705,0.010681,435,0.08,87,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
87,Combined_Network,0.9717,0.9681,0.0542,0.0569,0.0091826,0.0104928,440,0.06,88,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
88,Combined_Network,0.9717,0.9681,0.0542,0.0569,0.0091799,0.0104901,445,0.06,89,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
89,Combined_Network,0.9723,0.9689,0.0537,0.0561,0.0090014,0.0102305,450,0.05,90,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
